@relation ionosphere_part1
@attribute a34 real
@attribute a22 real
@attribute a07 real
@attribute a13 real
@attribute a31 real
@attribute a04 real
@attribute a16 real
@attribute a25 real
@attribute a28 real
@attribute a19 real
@attribute a10 real
@attribute a01 real
@attribute class{b,g}
@data
0.50903,0.31698,1.0,0.92992,0.56791,0.09771,0.28343,0.76193,0.42746,0.83656,0.09237,1.0,"g"
-0.27292,0.0,0.0,0.0,0.0,-0.35625,-0.55,-0.10625,-0.76667,1.0,0.0,1.0,"b"
0.78685,0.58071,0.94616,0.8425,0.33921,0.16801,0.49225,0.48311,0.69129,0.65091,0.2261,1.0,"g"
1.0,-0.4386,1.0,-0.05921,0.20614,1.0,0.05044,0.80921,-0.0614,0.14254,0.30921,1.0,"b"
-0.05402,-0.19095,0.8706,0.65452,0.4397,-0.41457,0.00879,0.93593,-0.07249,0.80025,-0.09925,1.0,"g"
0.37409,0.63496,1.0,1.0,1.0,0.10598,0.35507,0.91033,0.15942,0.58424,0.08424,1.0,"b"
-0.07329,0.0415,1.0,1.0,0.94578,0.28046,0.04384,1.0,-0.02174,0.84371,0.04317,1.0,"g"
-1.0,1.0,1.0,1.0,0.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,"b"
0.03446,-0.76339,0.43019,-0.79135,0.9357,0.67784,0.40268,0.41366,-0.93296,-0.97907,0.80541,1.0,"g"
-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.5,1.0,1.0,1.0,"b"
0.75837,0.61267,1.0,1.0,0.74389,0.03529,0.31674,0.89593,0.71374,1.0,0.25068,1.0,"g"
-1.0,1.0,-1.0,0.0,0.0,-1.0,1.0,1.0,-1.0,1.0,-1.0,0.0,"b"
0.86285,0.6882,0.96026,0.86265,0.13756,0.0862,0.58794,0.40615,0.83796,0.69003,0.35052,1.0,"g"
0.0,0.0,-0.32937,0.0,0.0,0.38889,-0.24206,0.73413,0.63492,0.46429,0.0,1.0,"b"
0.75243,0.59962,1.0,1.0,0.47027,0.0507,0.42881,0.66643,0.69435,0.75906,0.28453,1.0,"g"
-1.0,-1.0,1.0,1.0,0.0,1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,"b"
0.62658,0.56282,1.0,0.92745,0.45312,0.04078,0.39749,0.67077,0.6099,0.78619,0.27921,1.0,"g"
1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,"b"
1.0,1.0,1.0,1.0,-0.1737,0.24168,0.77128,0.64628,1.0,1.0,1.0,1.0,"g"
1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,-1.0,1.0,0.0,"b"
-0.48252,-0.26573,1.0,1.0,1.0,-0.06604,-0.15851,1.0,-0.81372,1.0,0.2028,1.0,"g"
-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,"b"
0.69509,0.66975,0.89702,0.70716,0.02735,0.07804,0.56476,0.23693,0.73885,0.51247,0.35197,1.0,"g"
0.04586,0.30745,0.46643,0.0106,-0.04585,-0.17314,0.38869,-0.02862,0.14481,0.10567,0.58304,1.0,"b"
0.02959,0.06953,0.80621,0.71598,0.59024,-0.02811,0.05178,0.65385,-0.06637,0.65976,0.02515,1.0,"g"
0.12755,0.14792,1.0,0.61567,0.39118,-0.06343,0.6791,0.47015,0.1463,0.46642,0.15299,1.0,"b"
0.00755,-0.23774,0.77358,0.66792,0.86415,0.04528,-0.02264,0.84906,-0.05801,0.61887,-0.04528,1.0,"g"
1.0,-0.3,1.0,0.81809,0.48927,-0.05,1.0,0.57273,0.14673,0.66818,-0.05909,1.0,"b"
0.17255,0.06667,0.38431,0.46667,0.45098,-0.01569,-0.0549,0.49804,0.10039,0.50196,-0.05882,1.0,"g"
-0.06314,0.05078,0.23182,-0.19091,-0.02916,0.12482,0.27322,-0.14003,-0.07114,-0.34773,0.44318,1.0,"b"
0.54185,0.27575,0.82403,0.85193,0.43026,-0.21996,0.25322,0.5676,0.53235,0.7103,0.05901,1.0,"g"
-0.59867,0.5081,-0.08961,-0.18494,-0.21354,-0.0858,-0.68065,0.78932,-0.25288,0.77979,0.04576,1.0,"b"
0.14783,0.11739,0.45217,0.57826,0.64348,-0.24783,0.37826,0.31304,-0.04264,0.36087,0.18261,1.0,"g"
-0.08978,0.07121,0.52012,0.47368,0.02399,0.14861,-0.1548,1.0,-0.40116,0.33746,-0.06811,1.0,"b"
-0.03226,0.06621,0.51783,0.47368,0.70798,0.13582,0.03905,0.51731,-0.03351,0.42445,0.20883,1.0,"g"
0.0,0.38803,0.56541,-0.02439,-1.0,0.16851,0.1286,-0.91574,0.88248,-0.50998,1.0,1.0,"b"
-0.19904,0.65924,0.7299,0.24412,-0.71475,0.16607,0.85038,-0.68159,0.25835,-0.28739,0.72997,1.0,"g"
-0.497,0.49508,0.71771,0.10289,-0.67289,0.19049,0.8429,-0.85376,-0.01358,-0.52145,0.84278,1.0,"g"
0.0,-1.0,0.50814,0.0,1.0,-1.0,0.0,1.0,-1.0,0.36482,0.32899,1.0,"b"
0.15114,0.11355,0.78575,0.75934,0.59759,0.04974,0.08442,0.67016,0.13608,0.63613,0.09948,1.0,"g"
0.0,0.0,0.77941,0.0,1.0,-1.0,0.0,-1.0,-1.0,0.73529,0.55147,1.0,"b"
-0.23296,-0.18519,1.0,0.99173,0.96436,0.01709,-0.15727,0.98971,-0.20243,0.9831,-0.05071,1.0,"g"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,"b"
-0.41573,-0.27165,0.96365,0.83543,0.89095,-0.12095,-0.31395,1.0,-0.31565,0.98678,0.0846,1.0,"g"
0.0,0.0,0.68182,0.34848,0.16288,-0.31818,0.0,0.24242,-0.23864,0.45076,0.95833,1.0,"b"
-0.44739,-0.23452,0.98898,1.0,1.0,-0.49311,-0.15017,1.0,-0.33304,1.0,0.66942,1.0,"g"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10976,0.56098,0.0,1.0,"b"
-0.27794,0.00075,0.88237,0.85221,0.80253,0.00526,-0.20848,0.93368,-0.17806,0.98298,-0.06257,1.0,"g"
0.0,0.0,0.0,0.0,0.0,0.10811,0.0,-0.42568,-1.0,0.33108,0.82432,1.0,"b"
-0.76112,-1.0,0.89518,0.6289,1.0,-0.57224,-0.57535,0.61946,-0.77986,0.76771,-0.35818,1.0,"g"
0.0,-1.0,0.0,0.0,0.0,-0.62879,0.0,0.0,-0.93939,0.84091,1.0,1.0,"b"
-0.31954,0.56092,0.67203,0.19617,-0.54866,0.1931,0.86284,-0.59234,0.08818,-0.341,0.69962,1.0,"g"
0.0,0.0,1.0,0.0,0.0,-0.61,0.0,0.21,0.22,0.84,1.0,1.0,"b"
-0.53319,0.44614,0.7802,0.09467,-0.51251,0.23395,0.91404,-0.70838,-0.11943,-0.5136,0.84222,1.0,"g"
0.0,0.00075,-0.39466,-0.03158,0.0,0.81586,-0.03403,-3e-05,0.0,0.00342,0.2973,1.0,"b"
-0.01877,0.0,0.19048,0.30952,0.16997,-0.09524,-0.04762,0.35714,-0.0229,0.33333,0.09524,1.0,"g"
-0.06557,0.03279,0.57377,0.72131,0.27869,-0.14754,-0.16393,0.31148,-0.20325,0.65558,0.01639,1.0,"b"
0.17077,0.12608,0.86249,0.79343,0.60715,0.0,0.09579,0.74545,0.15088,0.68182,0.0,1.0,"g"
-0.55837,0.44961,-0.16628,-0.6723,-0.54891,0.52381,-0.63668,0.32143,0.38848,0.54762,0.0119,1.0,"b"
-0.44222,-0.11526,1.0,1.0,1.0,-0.07111,-0.2,0.84444,-0.14162,0.88,0.00222,1.0,"g"
-0.29091,0.49091,0.18182,0.29091,0.12727,-0.12727,-0.41818,0.32727,-0.07027,0.36364,-0.03636,1.0,"b"
-0.11321,0.07547,0.49057,0.45283,1.0,-0.92453,-0.0566,1.0,-0.00128,0.5283,0.0,1.0,"g"
0.02381,0.04762,0.33333,0.33333,-0.66667,0.83333,-0.07143,-0.57255,-0.51079,0.2381,-0.14286,1.0,"b"
-0.0625,0.08333,0.39583,0.29167,0.58333,0.04167,0.02083,0.39583,-0.10064,0.35417,-0.0625,1.0,"g"
0.0,0.0,0.0,-0.51504,0.0,1.0,0.28571,-1.0,-1.0,0.0,0.0,1.0,"b"
0.37191,0.44088,0.90996,0.77937,0.23405,0.06595,0.37988,0.4044,0.43221,0.95472,-0.49962,1.0,"g"
0.68822,-0.69594,0.76001,0.95824,0.87757,0.40332,0.88444,0.28604,0.17076,0.88673,-0.10984,1.0,"b"
-0.06888,-0.09284,0.98313,0.9798,1.0,0.10129,-0.05343,0.91567,-0.06995,0.9384,-0.09316,1.0,"g"
0.0,0.0,0.0,-0.26048,0.04447,0.0,0.65565,0.0,-1.0,0.0,-1.0,1.0,"b"
-0.04112,-0.02612,0.98658,1.0,1.0,0.00876,-0.02581,0.96019,-0.03473,0.98485,-0.02844,1.0,"g"
-0.15676,-0.21081,0.18919,1.0,1.0,0.0,0.07027,0.0,-0.17568,0.0,0.0,1.0,"b"
0.07317,0.12195,0.52751,0.21951,0.19512,0.01403,0.0,0.21951,0.05641,0.31707,0.12195,1.0,"g"
0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,0.0,1.0,"b"
-0.2449,0.44898,0.40816,0.12245,-0.34694,0.20408,0.5102,-0.61224,0.14895,-0.20408,0.44898,1.0,"g"
0.0,0.0,0.0,1.0,1.0,0.0,0.23288,0.0,-1.0,0.0,0.0,1.0,"b"
-0.56618,0.38235,0.74265,-0.02206,-0.44118,0.38235,0.82353,-0.74265,-0.24131,-0.5,0.77941,1.0,"g"
-0.48241,-0.83007,-0.75693,-0.81699,0.18301,0.28105,-0.02614,-1.0,0.09176,-0.60131,0.71242,1.0,"b"
-0.05,0.2,0.33333,0.71667,0.46667,-0.1,-0.06667,0.25,0.05439,0.41667,0.11667,1.0,"g"
2e-05,0.00238,-0.17778,-0.00885,0.0,0.4,-0.00166,-0.00069,-0.00043,0.0047,-0.06879,1.0,"b"
-0.24324,0.05405,0.64865,0.51351,0.72973,-0.37838,-0.05405,0.35135,-0.22163,0.71833,0.18919,1.0,"g"
-0.34375,0.11719,-1.0,-1.0,-1.0,-0.03516,-0.00391,0.95703,0.13758,0.92188,0.01172,1.0,"b"
0.00809,-0.04971,0.93526,0.95665,0.95434,0.02254,-0.00405,0.97052,-0.01647,0.99769,-0.01734,1.0,"g"
-0.65935,-0.25,0.5,0.16667,1.0,-0.05529,-0.3466,1.0,-0.57092,1.0,-0.22222,1.0,"b"
-6e-05,-0.00299,0.2069,0.01707,-0.00012,-0.10345,-0.01482,-0.00031,-0.00048,0.00078,-0.05431,1.0,"g"
-0.27451,-0.19608,0.60784,0.66667,0.43137,-0.07843,-0.09804,0.45098,-0.24668,0.54902,-0.11765,1.0,"b"
-0.00291,0.00357,0.19036,-0.02367,-0.00089,0.16667,0.06317,-0.01097,-0.00586,-0.0323,0.19939,1.0,"g"
0.09375,-0.09375,0.0,-0.03125,-0.03125,0.15625,0.0,0.03125,0.0,0.4375,0.0625,1.0,"b"
-0.07027,0.06486,1.0,0.98919,1.0,-0.01081,-0.06486,0.97838,0.01251,0.97838,-0.01622,1.0,"g"
1.0,0.5067,1.0,1.0,1.0,0.05426,1.0,0.8062,0.71613,0.90698,-0.00775,1.0,"b"
0.06417,0.02139,1.0,1.0,1.0,-0.01604,0.06417,0.96257,0.04452,0.91444,0.00535,1.0,"g"
0.0305,-0.08,0.2825,0.0925,-0.27104,0.2875,0.21,-0.58,-0.28475,-0.34187,0.35,1.0,"b"
0.16667,-0.03333,0.7,0.8,0.6,0.03333,0.0,0.63333,0.10168,0.66667,0.0,1.0,"g"
-0.03352,0.02514,0.0,-0.00559,0.04469,-0.00838,-0.03352,0.00838,-0.00838,-0.06425,-0.03911,1.0,"b"
-0.0598,-0.44,0.47564,-0.47644,0.46059,0.28713,0.41743,-0.04119,-0.5642,-0.65426,0.89109,1.0,"g"
-0.00575,0.02299,0.01437,-0.03736,0.02586,0.01437,-0.04598,0.03161,0.01724,-0.04023,0.00862,1.0,"b"
0.00788,0.0335,0.8,0.8335,0.82956,-0.01084,0.01675,0.72611,0.00612,0.79113,0.01084,1.0,"g"
0.01997,0.00428,0.01997,0.01427,-0.02568,0.02568,-0.03281,0.05136,0.01569,-0.01712,-0.04993,1.0,"b"
0.04233,-0.1455,0.25661,-0.34127,0.24868,0.22751,0.3254,-0.2328,-0.31739,-0.5,0.49471,1.0,"g"
-0.06865,0.0,0.10526,0.12357,0.09611,0.00686,-0.13501,0.15103,0.01373,0.18993,-0.06178,1.0,"b"
0.50457,-0.6362,0.21572,-0.76051,0.02742,0.38574,-0.31079,0.73857,0.30384,-0.12797,0.64899,1.0,"g"
0.0,-0.02539,0.02116,0.01975,-0.01693,0.00705,0.06065,0.0,-0.01128,-0.02398,0.04372,1.0,"b"
-0.09186,0.01195,0.77521,0.88051,0.73936,0.00075,0.0351,0.79686,-0.03678,0.8357,0.09037,1.0,"g"
1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1.0,"b"
0.64933,-0.80496,0.08858,-0.93092,0.19667,0.39252,-0.31044,0.77814,0.21343,-0.1926,0.88744,1.0,"g"
0.0,1.0,0.625,1.0,-0.94375,1.0,0.0,1.0,1.0,1.0,1.0,1.0,"b"
0.90196,-1.0,0.01961,-1.0,0.23529,0.54902,-0.33333,0.92157,0.21876,-0.23529,0.92157,1.0,"g"
1.0,-1.0,-1.0,1.0,-1.0,0.0,-1.0,1.0,-1.0,0.0,0.0,1.0,"b"
1.0,-0.77778,-0.22222,-1.0,0.22222,0.44444,-0.22222,0.33333,0.45019,0.55556,0.88889,1.0,"g"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"b"
0.30293,0.0,0.5,0.89067,0.69635,0.0,0.16228,0.5,0.26388,0.75,0.0,1.0,"g"
0.0,0.0,0.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,"b"
0.0,-0.11111,0.66667,1.0,0.88889,0.0,0.0,0.66667,-0.05352,1.0,-0.11111,1.0,"g"
0.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,"b"
-0.18182,-0.36364,1.0,1.0,1.0,0.45455,-0.18182,1.0,-0.04914,1.0,-0.09091,1.0,"g"
-0.41667,-0.53409,0.0,-0.07576,0.18182,-0.63636,0.31439,0.29167,-0.57576,0.12121,0.28788,1.0,"b"
0.23529,0.35294,1.0,1.0,1.0,0.11765,0.47059,1.0,0.20225,1.0,0.05882,1.0,"g"
0.45745,1.0,1.0,0.12766,0.74468,0.0,-1.0,0.0,-0.46809,0.82979,-0.23404,1.0,"b"
0.04167,-0.08333,0.70833,0.83333,0.70833,0.29167,0.0,0.83333,0.05503,1.0,-0.08333,1.0,"g"
0.19551,0.0,0.0,0.11538,0.02564,-0.16667,0.0,0.07853,-0.10897,0.0,0.0,1.0,"b"
-0.89621,-0.78316,0.99246,0.85788,0.24117,-0.08183,-0.4817,0.67033,-0.85669,0.68131,-0.33075,1.0,"g"
0.07895,0.0,-1.0,0.22807,0.35088,1.0,0.34649,1.0,-1.0,0.22807,0.21053,1.0,"b"
-0.46603,-0.39328,0.80244,0.73855,0.15657,0.24077,-0.36078,0.23966,-0.4839,0.40473,-0.23486,1.0,"g"
0.0,0.0,0.0,1.0,-1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,"b"
-0.47898,-0.54172,0.87024,0.70302,-0.0184,-0.19448,-0.49967,0.1475,-0.59589,0.2707,-0.2707,1.0,"g"
1.0,1.0,1.0,0.23958,0.69792,-1.0,1.0,-0.71528,-1.0,1.0,0.53819,1.0,"b"
0.69409,-0.86498,0.09916,-0.93882,0.31435,0.4346,-0.25527,0.74895,0.07933,-0.25105,0.88186,1.0,"g"
0.0,0.0,1.0,1.0,-1.0,1.0,0.0,-1.0,1.0,1.0,-1.0,1.0,"b"
-0.66667,-0.92536,0.77123,0.0,0.0,0.63548,1.0,-0.33333,-1.0,-1.0,1.0,1.0,"g"
0.0,1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,"b"
1.0,0.92001,1.0,1.0,1.0,0.06843,0.58986,1.0,1.0,1.0,-0.125,1.0,"g"
0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,1.0,-1.0,-1.0,0.0,0.0,"b"
-0.27201,-0.31525,-0.13129,0.28931,-0.04717,-0.07896,-0.18947,0.03004,-0.2321,0.15196,0.04403,1.0,"g"
-0.9375,-0.21875,0.0,0.16667,-0.125,0.0,0.0,-1.0,0.75,0.0,0.0,1.0,"b"
0.19083,0.292,0.96142,0.80426,0.22427,0.05149,0.2738,0.39023,0.25553,0.59615,-0.26496,1.0,"g"
0.72831,-1.0,-1.0,-1.0,-1.0,-0.09524,1.0,0.82937,1.0,1.0,0.31746,1.0,"b"
-0.14725,0.26133,0.92314,0.99676,0.78317,-0.0019,0.05097,0.84547,-0.02302,0.87379,0.16828,1.0,"g"
1.0,1.0,1.0,1.0,-0.75,-1.0,1.0,1.0,0.625,1.0,-0.5,1.0,"b"
-0.11717,0.03728,1.0,0.9812,1.0,0.23058,0.0661,1.0,-0.04597,0.83584,0.15414,1.0,"g"
0.00325,-0.20188,-0.07661,-1.0,-0.00761,-1.0,1.0,0.03021,-0.01186,0.31755,0.95041,1.0,"b"
-0.0574,0.00191,1.0,0.99745,1.0,0.38265,0.02487,1.0,-0.00394,0.95663,-0.07398,1.0,"g"
0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,"b"
-0.7,-0.70975,0.94623,0.90818,0.16604,-0.28428,-0.58899,0.49214,-0.76054,0.59623,-0.30566,1.0,"g"
0.0,-1.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.2,-1.0,-1.0,1.0,"b"
0.04545,0.09091,0.77273,1.0,0.86364,0.09091,-0.04545,0.90909,0.02897,1.0,0.0,1.0,"g"
0.0,-1.0,1.0,-1.0,1.0,0.0,-0.3125,1.0,-1.0,1.0,-1.0,0.0,"b"
0.05882,0.11765,0.82353,0.97059,0.97059,-0.08824,0.02941,0.85294,0.026,1.0,-0.02941,1.0,"g"
1.0,-1.0,0.28354,1.0,-1.0,1.0,-0.23476,1.0,-0.03578,1.0,1.0,1.0,"b"
0.09719,0.07631,0.83155,0.79856,0.6015,-0.10526,0.05756,0.42105,0.08968,1.0,-0.05263,1.0,"g"
0.0,0.74359,-0.01923,0.0,0.0,-0.5,0.0,0.0,-0.51282,0.3141,0.0,1.0,"b"
0.27273,-0.45455,0.81818,0.81818,1.0,0.45455,0.27273,1.0,0.08867,1.0,-0.09091,1.0,"g"
0.0,1.0,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,0.0,0.0,0.0,"b"
-0.01832,-0.09091,0.27273,0.45455,0.36364,0.09091,-0.01343,0.36364,-0.01768,0.45455,0.0,1.0,"g"
0.0,-1.0,-1.0,0.0,0.0,-0.59677,0.0,0.29839,0.51613,0.0,1.0,1.0,"b"
0.0,-0.28571,1.0,1.0,1.0,0.14286,0.0,0.28571,0.04891,1.0,-0.14286,1.0,"g"
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"b"
0.57552,-0.78699,0.1038,-0.92099,0.25974,0.46972,-0.24942,0.69274,0.10484,-0.24012,0.87916,1.0,"g"
-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,"b"
0.46571,0.54212,0.86098,0.76221,0.14312,0.04174,0.4836,0.3334,0.54214,0.53392,0.36526,1.0,"g"
0.0,1.0,1.0,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,"b"
0.55835,0.85615,0.85705,0.6526,-0.38532,0.13645,0.73586,-0.07361,0.78004,0.25539,0.47127,1.0,"g"
