@relation sonar_all_data_part2
@attribute s12 real
@attribute s47 real
@attribute s52 real
@attribute s17 real
@attribute s57 real
@attribute s22 real
@attribute s7 real
@attribute s27 real
@attribute s32 real
@attribute s37 real
@attribute s42 real
@attribute s2 real
@attribute class{M,R}
@data
0.0979,0.1316,0.0163,0.1699,0.0037,0.3151,0.1083,0.7158,0.894,0.9497,0.2304,0.0713,"R"
0.0844,0.0383,0.0062,0.3526,0.0053,0.4285,0.0771,0.8875,0.4592,0.4746,0.2873,0.0068,"R"
0.1862,0.0469,0.0052,0.2933,0.003,0.6464,0.0993,1.0,0.2946,0.2216,0.1745,0.0046,"R"
0.1209,0.1091,0.0065,0.2676,0.0041,0.6257,0.0895,0.9928,0.4638,0.2735,0.2522,0.0378,"R"
0.1475,0.0926,0.0044,0.2394,0.0138,0.5666,0.0609,0.9196,0.5007,0.2395,0.2633,0.008,"R"
0.1387,0.1225,0.0076,0.2532,0.0045,0.6057,0.0891,1.0,0.4989,0.263,0.2655,0.0116,"R"
0.2115,0.1117,0.0049,0.2538,0.0037,0.5991,0.0857,1.0,0.4323,0.2459,0.2064,0.0102,"R"
0.078,0.0452,0.0052,0.174,0.0047,0.6115,0.1139,0.8807,0.6312,0.6253,0.153,0.0124,"R"
0.0948,0.0241,0.0034,0.259,0.003,0.7245,0.0889,1.0,0.6071,0.4786,0.0652,0.0019,"R"
0.05,0.0247,0.0041,0.2048,0.0017,0.7101,0.0873,1.0,0.5128,0.4577,0.1041,0.0152,"R"
0.11,0.0179,0.0078,0.2137,0.0039,0.7979,0.0931,0.9821,0.5447,0.4826,0.0674,0.0006,"R"
0.1112,0.0408,0.0037,0.2658,0.0037,0.8747,0.1031,0.9307,0.4924,0.5144,0.0431,0.0045,"R"
0.1101,0.0205,0.0072,0.269,0.0058,0.8162,0.0499,1.0,0.681,0.5917,0.1013,0.0215,"R"
0.0909,0.0602,0.0048,0.2038,0.0034,0.6566,0.0432,0.6906,0.6177,0.4561,0.1641,0.0096,"R"
0.1554,0.0879,0.0043,0.0892,0.0054,0.1608,0.0701,0.3399,0.5989,0.8459,0.4161,0.0103,"R"
0.1854,0.0911,0.0042,0.1568,0.0112,0.0946,0.0362,0.4642,0.5376,0.7766,0.4813,0.0172,"R"
0.206,0.0931,0.0038,0.207,0.0073,0.0689,0.0341,0.5872,0.626,0.696,0.5247,0.044,"R"
0.2545,0.0804,0.0091,0.1424,0.0135,0.0219,0.1161,0.4753,0.5373,0.7712,0.5155,0.0403,"R"
0.1322,0.1077,0.0028,0.1226,0.0058,0.261,0.0892,0.4772,0.8835,0.4679,0.1654,0.0142,"R"
0.1102,0.0342,0.014,0.1929,0.0047,0.1571,0.0906,0.8684,0.2055,0.1058,0.1915,0.0215,"R"
0.0827,0.0608,0.0069,0.1268,0.0026,0.2889,0.0527,0.828,0.141,0.0589,0.3041,0.0122,"R"
0.1245,0.0381,0.0119,0.1477,0.0018,0.1975,0.1243,0.8457,0.2054,0.0795,0.2507,0.0078,"R"
0.1179,0.0441,0.0074,0.1615,0.0028,0.2816,0.0612,0.8087,0.102,0.0429,0.292,0.0186,"R"
0.0828,0.0898,0.0062,0.1066,0.0025,0.5658,0.0659,0.6858,0.2628,0.3186,0.2112,0.0222,"R"
0.0501,0.0327,0.0077,0.7738,0.0076,0.8535,0.1004,1.0,0.2959,0.2149,0.0288,0.0093,"R"
0.0269,0.0426,0.0127,0.8341,0.0049,0.9403,0.1154,0.9351,0.4611,0.2541,0.0569,0.0104,"R"
0.0259,0.0546,0.0091,0.8669,0.0045,0.9976,0.138,0.9675,0.4007,0.2692,0.03,0.0189,"R"
0.0689,0.0949,0.015,0.7327,0.0137,0.9814,0.1136,0.7931,0.341,0.1192,0.0799,0.0294,"R"
0.1382,0.0844,0.0106,0.7521,0.0056,0.8873,0.1738,0.8846,0.2285,0.1073,0.044,0.0351,"R"
0.1412,0.0509,0.0029,0.539,0.0003,1.0,0.1015,0.6501,0.3195,0.0379,0.0644,0.0086,"R"
0.3358,0.0763,0.0064,0.8137,0.0026,0.9349,0.2211,0.6981,0.1319,0.1338,0.0056,0.0369,"R"
0.3565,0.193,0.013,1.0,0.008,0.8825,0.1627,0.6319,0.4235,0.237,0.2054,0.0194,"R"
0.3323,0.1874,0.0028,0.9522,0.0061,0.8217,0.1054,0.6053,0.2897,0.2043,0.2191,0.0421,"R"
0.4113,0.1829,0.0031,0.9819,0.0031,0.846,0.1398,0.5601,0.4055,0.213,0.2029,0.034,"R"
0.3118,0.2198,0.0046,0.9739,0.0061,0.9061,0.0887,0.6389,0.3318,0.1312,0.2714,0.0318,"R"
0.0387,0.1587,0.011,0.835,0.0078,0.7545,0.2112,0.7009,0.0773,0.7076,0.3868,0.1632,"R"
0.1523,0.196,0.0093,0.7906,0.009,0.7569,0.1424,0.6971,0.1592,0.7319,0.3874,0.037,"R"
0.0946,0.2392,0.0172,0.7066,0.0258,0.7697,0.214,0.6024,0.24,0.7775,0.4208,0.0454,"R"
0.0906,0.119,0.0113,0.9062,0.0104,0.6952,0.1823,0.5759,0.2024,0.4827,0.2975,0.0242,"R"
0.0837,0.1723,0.0083,0.7505,0.0132,0.6794,0.0677,0.7726,0.182,0.6423,0.4041,0.0291,"R"
0.1207,0.0491,0.0208,1.0,0.0037,0.5032,0.2304,0.8105,0.6762,0.4801,0.1167,0.0519,"R"
0.3223,0.0567,0.0178,0.3512,0.0033,0.3489,0.3729,0.6838,0.5049,0.1356,0.1155,0.0808,"R"
0.2187,0.1018,0.0118,0.0699,0.0035,0.2403,0.1263,0.6549,0.4444,0.0535,0.2841,0.0192,"R"
0.3259,0.0322,0.0067,0.2164,0.007,0.238,0.1798,0.6838,0.4577,0.1598,0.3599,0.0437,"R"
0.225,0.0692,0.0149,0.0367,0.0101,0.1994,0.1947,0.7102,0.3717,0.0947,0.2941,0.0309,"R"
0.0794,0.0,0.0056,0.1556,0.0164,0.1395,0.0145,0.4468,0.2483,0.6359,0.0653,0.04,"R"
0.0671,0.099,0.0223,0.1626,0.0018,0.2104,0.0361,0.4086,0.2214,0.448,0.2268,0.0146,"R"
0.2497,0.1789,0.0081,0.278,0.0194,0.3834,0.2217,0.534,0.4639,0.6903,0.4797,0.0279,"M"
0.2259,0.1921,0.0362,0.4386,0.0106,0.1973,0.1853,0.4163,0.2375,0.3725,0.2711,0.2339,"M"
0.2615,0.0841,0.0191,0.4616,0.0242,0.1127,0.1201,0.5353,0.3939,0.1023,0.301,0.0423,"M"
0.5205,0.0795,0.0089,0.9786,0.023,0.385,0.0884,0.2234,0.1891,0.1073,0.1775,0.1065,"M"
0.5771,0.0439,0.0244,0.8622,0.0032,0.3061,0.1948,0.5027,0.3522,0.1834,0.0954,0.0134,"M"
0.4257,0.1081,0.0331,0.9039,0.0038,0.5222,0.0832,0.1746,0.3104,0.1681,0.0443,0.121,"M"
0.4754,0.0264,0.0071,0.8999,0.0035,0.6998,0.1056,0.0481,0.4612,0.2319,0.1395,0.0253,"M"
0.4992,0.0672,0.0321,0.823,0.0052,0.6498,0.0665,0.0989,0.293,0.4609,0.4448,0.0523,"M"
0.3988,0.0237,0.0163,0.8024,0.0097,0.8325,0.0761,0.4355,0.3035,0.3201,0.1781,0.0179,"M"
0.1734,0.1303,0.0078,0.636,0.0066,0.7507,0.0374,0.4531,0.3194,0.4716,0.3712,0.0423,"M"
0.2473,0.101,0.0142,0.6588,0.0089,0.7974,0.1543,0.4139,0.4465,0.4234,0.3324,0.0555,"M"
0.2023,0.053,0.0013,0.6687,0.0117,0.9162,0.0853,0.4162,0.3169,0.4532,0.337,0.0474,"M"
0.084,0.1991,0.0214,0.505,0.0121,0.9422,0.1417,0.7215,0.2443,0.2909,0.4443,0.0071,"M"
0.1741,0.115,0.0117,0.6011,0.008,0.9338,0.0723,0.7688,0.1198,0.3248,0.4008,0.0121,"M"
0.2226,0.0523,0.0244,0.5655,0.0171,1.0,0.0617,0.6534,0.0994,0.4441,0.499,0.0885,"M"
0.3323,0.0882,0.012,0.687,0.0218,0.9972,0.1487,0.3572,0.1713,0.4516,0.2634,0.0472,"M"
0.2869,0.0655,0.0147,0.618,0.0054,0.945,0.1154,0.581,0.1711,0.3619,0.3661,0.0599,"M"
0.2973,0.0951,0.0269,0.7402,0.005,0.9982,0.1489,0.7207,0.2533,0.2818,0.2871,0.0222,"M"
0.3025,0.0805,0.0045,0.7417,0.0141,0.8384,0.2002,0.5514,0.1032,0.3704,0.4265,0.0436,"M"
0.3106,0.1173,0.0153,0.6441,0.0078,1.0,0.1909,0.775,0.1164,0.212,0.1702,0.0333,"M"
0.3109,0.0959,0.0098,0.4765,0.0055,0.9614,0.1776,0.8815,0.251,0.225,0.3654,0.0106,"M"
0.2154,0.0779,0.0115,0.5334,0.0066,0.8641,0.1349,0.9547,0.3156,0.0711,0.1056,0.0478,"M"
0.365,0.0373,0.0222,0.6237,0.0054,0.8632,0.1316,0.8576,0.286,0.1302,0.2033,0.0266,"M"
0.239,0.1013,0.004,0.5486,0.0052,0.789,0.0938,0.9702,0.4867,0.2824,0.2676,0.0509,"M"
0.2568,0.107,0.0173,0.5996,0.0088,0.9668,0.1368,0.9184,0.33,0.2373,0.2546,0.0041,"M"
0.2961,0.1492,0.0027,0.7236,0.0048,0.9247,0.1192,0.9896,0.3719,0.2554,0.2293,0.0119,"M"
0.2399,0.1344,0.0189,0.6613,0.0138,0.8369,0.1323,0.8917,0.3339,0.2626,0.1901,0.0163,"M"
0.3934,0.0624,0.0255,0.4835,0.0107,0.8633,0.2134,0.9261,0.3129,0.1017,0.2879,0.0324,"M"
0.3643,0.1079,0.0172,0.8426,0.0116,0.8537,0.1597,0.907,0.2447,0.2413,0.2785,0.0853,"M"
0.5249,0.0899,0.0153,0.8693,0.0066,0.8158,0.1916,0.5643,0.2574,0.1803,0.1239,0.0849,"M"
0.1334,0.1383,0.0057,0.6994,0.0127,0.9473,0.3016,0.6502,0.0978,0.1271,0.1195,0.0261,"M"
0.3999,0.1065,0.0118,0.8087,0.0124,0.9367,0.2072,0.4865,0.1267,0.1709,0.1483,0.0586,"M"
0.5484,0.0643,0.0118,0.9382,0.0022,0.7983,0.1773,0.4697,0.2339,0.1757,0.2458,0.1226,"M"
0.5364,0.0434,0.0274,1.0,0.0045,0.7581,0.2061,0.3309,0.1362,0.2562,0.2831,0.0446,"M"
0.0991,0.234,0.0099,0.3041,0.019,0.468,0.2417,0.1617,0.3296,0.7848,0.0906,0.1163,"M"
0.17,0.1329,0.0073,0.2436,0.0126,0.4076,0.0944,0.2893,0.3335,0.7356,0.1545,0.0821,"M"
0.2583,0.0768,0.0298,0.3366,0.0141,0.3689,0.0771,0.2259,0.3741,0.7056,0.4729,0.0707,"M"
0.2251,0.1578,0.018,0.1674,0.0084,0.3712,0.3322,0.2211,0.4303,0.9386,0.2016,0.107,"M"
0.0834,0.1699,0.0234,0.1247,0.0201,0.3236,0.2495,0.2953,0.279,0.8327,0.3809,0.0611,"M"
0.2362,0.0945,0.0455,0.1415,0.0103,0.4856,0.1948,0.3654,0.5443,0.842,0.4469,0.1278,"M"
0.5033,0.1164,0.0176,0.2507,0.0027,0.8454,0.0569,0.4024,0.1162,0.4118,0.4312,0.0902,"M"
0.316,0.3241,0.0444,0.1796,0.0177,0.6572,0.2555,0.4915,0.4219,0.5496,0.4463,0.1249,"M"
0.2681,0.0476,0.0258,0.3748,0.011,0.5231,0.1338,0.8499,0.5369,0.3319,0.1614,0.0627,"M"
0.2671,0.4315,0.0376,0.4639,0.0095,0.4786,0.1787,0.7243,0.6033,0.3087,0.6431,0.1135,"M"
0.1764,0.263,0.0156,0.5386,0.0133,0.7644,0.0715,0.7567,0.7995,0.3652,0.6952,0.1252,"M"
0.2807,0.3385,0.0339,0.291,0.0132,0.6379,0.0539,0.6877,0.9108,0.1666,0.5628,0.0563,"M"
0.2778,0.3016,0.0432,0.3252,0.002,0.7052,0.1777,0.6131,0.9168,0.158,0.8246,0.0944,"M"
0.0904,0.3287,0.0459,0.3962,0.0203,0.4698,0.013,0.4621,0.7446,0.1309,0.6443,0.0688,"M"
0.392,0.2193,0.0309,0.2282,0.0092,0.6298,0.1108,0.8809,0.4241,0.5647,0.6075,0.1574,"M"
0.2631,0.5522,0.0709,0.3956,0.0177,0.2887,0.0988,0.4722,0.6666,0.1188,0.7988,0.083,"M"
0.1377,0.3195,0.021,0.5954,0.0355,0.6373,0.1797,0.83,0.8202,0.097,0.4808,0.0649,"M"
0.3985,0.0805,0.0154,0.2579,0.0087,0.7442,0.1285,0.7576,0.1276,0.1781,0.2895,0.0901,"M"
0.1787,0.2594,0.0033,0.1647,0.0042,1.0,0.0918,0.5707,0.2247,0.1429,0.2023,0.0535,"M"
0.1556,0.0495,0.0096,0.4784,0.0078,1.0,0.1458,0.1295,0.4855,0.3837,0.0866,0.0278,"M"
0.152,0.0674,0.0125,0.682,0.0052,1.0,0.0223,0.565,0.3544,0.4331,0.2339,0.0315,"M"
0.199,0.1394,0.0168,0.685,0.003,0.7918,0.0742,0.6255,0.484,0.2699,0.1669,0.0201,"M"
0.0236,0.1111,0.0104,0.7655,0.0038,0.9992,0.1674,0.498,0.2897,0.0351,0.1937,0.0394,"M"
0.0754,0.1112,0.0053,0.7071,0.002,0.9838,0.1577,0.6934,0.2758,0.0888,0.2225,0.0069,"M"
0.0367,0.0727,0.0117,0.7435,0.0024,0.914,0.1518,0.2571,0.3615,0.1112,0.1902,0.0128,"M"
0.3263,0.2241,0.0095,0.1928,0.006,0.3291,0.1674,0.9395,0.8086,0.6241,0.4392,0.0059,"M"
0.3037,0.3123,0.0131,0.18,0.0083,0.2143,0.1232,0.8787,0.9306,0.6938,0.4527,0.0178,"M"
0.3431,0.1541,0.0164,0.2736,0.0072,0.1241,0.1606,0.9252,0.8478,0.7673,0.3954,0.0453,"M"
0.2484,0.1128,0.0221,0.3635,0.0057,0.1343,0.1258,0.8406,0.7912,0.8084,0.3361,0.022,"M"
0.2601,0.2095,0.0091,0.1794,0.0031,0.2381,0.1296,0.9941,0.769,0.5983,0.4031,0.0433,"M"
0.2621,0.3877,0.02,0.0886,0.0074,0.1805,0.0939,0.8543,0.8522,0.7337,0.4965,0.0363,"M"
0.2087,0.1689,0.0123,0.2934,0.0029,0.6501,0.0773,0.8189,0.5749,0.1451,0.4133,0.0152,"M"
0.288,0.1175,0.0078,0.4221,0.0037,0.7873,0.1182,0.6055,0.4918,0.2369,0.2423,0.0027,"M"
0.375,0.1985,0.0077,0.3446,0.0084,0.8264,0.1487,0.2908,0.842,0.1249,0.5417,0.0198,"M"
0.2984,0.1052,0.0089,0.4274,0.0016,0.8493,0.0812,0.4969,0.8549,0.1546,0.3702,0.0065,"M"
0.1335,0.3511,0.0217,0.0903,0.0108,0.3353,0.0611,0.3892,0.6297,0.3356,0.3492,0.0277,"M"
0.1084,0.2739,0.0081,0.1313,0.0067,0.6181,0.0279,0.9089,0.0877,0.7963,0.1704,0.0297,"M"
0.2575,0.0849,0.0108,0.3685,0.0013,0.8257,0.1005,1.0,0.2945,0.8195,0.2241,0.0186,"M"
0.2389,0.0694,0.0084,0.3052,0.0011,0.7333,0.0384,0.9964,0.1746,0.7536,0.3181,0.012,"M"
0.2325,0.1084,0.0094,0.2353,0.0042,0.7793,0.08,0.9454,0.2951,0.88,0.3342,0.0172,"M"
0.4507,0.0883,0.0123,0.1785,0.0081,0.8717,0.209,0.8694,0.4639,0.506,0.1591,0.0136,"M"
0.3035,0.0701,0.0122,0.2803,0.0026,0.4393,0.0596,1.0,0.519,0.3809,0.3834,0.0444,"M"
0.3161,0.0618,0.0095,0.4423,0.0016,0.4789,0.2054,0.9564,0.1852,0.1644,0.2813,0.0216,"M"
0.5239,0.2069,0.004,0.442,0.011,0.9385,0.0576,0.8237,0.3964,0.3208,0.0448,0.0173,"M"
0.5044,0.1319,0.0056,0.3286,0.0015,0.8314,0.1326,1.0,0.4674,0.4072,0.1874,0.0123,"M"
0.5632,0.039,0.0048,0.3975,0.0086,0.8562,0.1015,0.9822,0.369,0.4649,0.2621,0.0709,"M"
0.3108,0.0797,0.0054,0.1801,0.0056,0.8318,0.0684,0.9673,0.4056,0.4773,0.1184,0.0165,"M"
0.247,0.0781,0.0134,0.1162,0.0041,0.5418,0.0747,0.8847,0.548,0.1772,0.2075,0.0394,"M"
0.3404,0.0766,0.0146,0.2086,0.0101,0.6708,0.0956,0.7373,0.5558,0.2244,0.3882,0.042,"M"
0.5611,0.0775,0.0204,0.2297,0.0015,0.878,0.1106,0.8686,0.4289,0.2062,0.2407,0.0221,"M"
0.4292,0.2526,0.0176,0.2825,0.0056,0.632,0.0961,0.9911,0.7332,0.3039,0.7179,0.0321,"M"
0.4499,0.1539,0.0181,0.3426,0.0042,0.667,0.1016,0.9819,0.689,0.359,0.4393,0.0308,"M"
0.5148,0.1401,0.0237,0.3068,0.0109,0.8103,0.0955,1.0,0.6408,0.3167,0.4697,0.0404,"M"
0.5679,0.1227,0.0167,0.2937,0.0043,0.8147,0.2263,0.8917,0.2775,0.1869,0.3651,0.0383,"M"
0.5341,0.094,0.0141,0.3021,0.0057,0.8667,0.1287,1.0,0.5371,0.1602,0.437,0.0625,"M"
0.3669,0.4069,0.0078,0.2324,0.0062,0.3677,0.1438,0.6624,0.7009,0.1433,0.5077,0.0191,"M"
0.2935,0.184,0.0105,0.198,0.0009,0.3324,0.097,0.8334,0.4795,0.201,0.4449,0.0279,"M"
0.3094,0.1485,0.0096,0.1457,0.0021,0.31,0.1488,0.8754,0.502,0.157,0.4512,0.0274,"M"
0.2719,0.1554,0.0121,0.2459,0.0034,0.3735,0.1463,0.8706,0.4192,0.167,0.2777,0.0239,"M"
0.2783,0.1954,0.015,0.173,0.0056,0.3808,0.1365,0.883,0.5069,0.1592,0.2715,0.021,"M"
0.2536,0.1878,0.0108,0.216,0.0054,0.3956,0.1024,0.9199,0.4355,0.1829,0.3184,0.0252,"M"
0.2712,0.1807,0.0072,0.2028,0.0037,0.4003,0.0706,0.9021,0.4463,0.177,0.2778,0.0267,"M"
0.2721,0.1937,0.0134,0.1318,0.0028,0.3631,0.1021,0.918,0.5069,0.22,0.3154,0.0121,"M"
0.3049,0.0912,0.0083,0.2062,0.0071,0.5944,0.1053,0.988,0.3397,0.1234,0.211,0.0108,"M"
0.3134,0.1818,0.0124,0.2143,0.0054,0.7718,0.0662,1.0,0.328,0.0756,0.1475,0.0141,"M"
0.3484,0.1766,0.0165,0.2298,0.0024,0.8268,0.0879,0.9974,0.2908,0.074,0.1068,0.0017,"M"
0.2648,0.157,0.0132,0.2387,0.0025,0.7928,0.0958,1.0,0.3209,0.0948,0.1329,0.0421,"M"
0.31,0.1716,0.0096,0.1781,0.0028,0.8125,0.0881,1.0,0.3165,0.058,0.1197,0.0318,"M"
0.2882,0.1181,0.0141,0.2298,0.0037,0.8045,0.111,1.0,0.3242,0.0693,0.0469,0.0744,"M"
0.3738,0.1964,0.015,0.2758,0.004,0.7924,0.1626,0.9474,0.2822,0.0521,0.1055,0.0387,"M"
0.3553,0.1688,0.012,0.287,0.0045,0.7452,0.1709,0.9301,0.2464,0.0702,0.102,0.0258,"M"
0.3309,0.0641,0.0091,0.2088,0.0054,0.6172,0.1349,0.9168,0.6505,0.1708,0.0585,0.0378,"M"
0.2933,0.1521,0.0116,0.2732,0.0065,0.6879,0.2028,0.9987,0.5547,0.0969,0.1036,0.0346,"M"
0.3425,0.079,0.0061,0.1901,0.0034,0.5949,0.099,0.9448,0.7117,0.1159,0.0824,0.0101,"M"
0.2374,0.1059,0.016,0.1723,0.014,0.5888,0.1257,0.9699,0.7305,0.1066,0.0328,0.0437,"M"
0.2812,0.1258,0.0086,0.207,0.0034,0.699,0.1465,0.9979,0.4961,0.1572,0.1367,0.0353,"M"
0.2442,0.0991,0.0146,0.2177,0.004,0.7397,0.0655,0.9375,0.4567,0.2655,0.2076,0.0363,"M"
