@relation segment_challenge_part2
@attribute intensity-mean real
@attribute rawblue-mean real
@attribute exgreen-mean real
@attribute saturation-mean real
@attribute region-centroid-row real
@attribute exred-mean real
@attribute hedge-mean real
@attribute vedge-mean real
@attribute short-line-density-5 real
@attribute class{brickface,cement,foliage,grass,path,sky,window}
@data
135.741,146.333,-11.5556,0.118399,47.0,-20.2222,1.11111,0.444445,0.0,"sky"
0.740741,2.22222,-2.22222,1.0,128.0,-2.22222,0.388889,0.222222,0.0,"foliage"
5.88889,7.44444,-8.0,0.56746,114.0,3.33333,0.833333,0.388889,0.0,"brickface"
19.3333,24.7778,-15.0,0.419248,60.0,-1.33333,1.05556,0.555555,0.0,"brickface"
0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,"window"
47.8148,54.1111,-13.4444,0.199351,97.0,-5.44444,0.5,2.72222,0.111111,"cement"
16.8519,24.4444,-10.8889,0.475549,90.0,-11.8889,2.22222,1.83333,0.0,"window"
11.6296,9.66667,12.7778,0.428363,187.0,-6.88889,2.05556,1.22222,0.0,"grass"
9.88889,17.0,-9.66667,0.676581,83.0,-11.6667,5.83333,0.722222,0.0,"window"
18.0,15.7778,18.6667,0.424404,226.0,-12.0,1.11111,2.88889,0.0,"grass"
1.92593,4.44444,-2.44444,0.962963,120.0,-5.11111,1.05556,0.833333,0.0,"foliage"
49.8148,61.1111,-9.77778,0.358975,108.0,-24.1111,27.2778,25.5,0.0,"foliage"
13.3704,12.0,11.5556,0.371914,219.0,-7.44444,1.72222,1.5,0.0,"grass"
24.2963,24.2222,15.4444,0.350043,157.0,-15.2222,2.94444,0.833334,0.0,"grass"
17.2593,25.7778,-12.4444,0.499695,92.0,-13.1111,0.555555,1.27778,0.0,"window"
49.1852,59.7778,-18.8889,0.282687,179.0,-12.8889,2.44444,1.83333,0.111111,"path"
2.22222,5.33333,-3.66667,0.94709,107.0,-5.66667,0.833333,1.16667,0.0,"foliage"
58.0,71.4444,-24.0,0.29965,187.0,-16.3333,2.83333,3.5,0.0,"path"
22.7407,30.2222,-17.5556,0.440708,56.0,-4.88889,1.33333,1.05556,0.0,"brickface"
0.962963,2.77778,-2.55556,1.0,133.0,-2.88889,0.388889,0.555555,0.0,"foliage"
7.62963,10.7778,-6.88889,0.512566,95.0,-2.55556,1.33333,1.72222,0.0,"window"
5.40741,6.22222,-7.22222,0.574074,141.0,4.77778,0.777778,0.5,0.0,"brickface"
5.48148,6.33333,-7.44444,0.580026,113.0,4.88889,0.722222,0.722222,0.0,"brickface"
17.1111,18.0,8.33333,0.324965,169.0,-11.0,1.38889,1.11111,0.0,"grass"
122.963,140.778,-16.5556,0.213813,51.0,-36.8889,0.833335,0.722223,0.0,"sky"
128.444,142.889,-15.6667,0.165616,29.0,-27.6667,1.05555,1.0,0.0,"sky"
19.0,18.3333,13.3333,0.352606,151.0,-11.3333,4.44444,0.388889,0.0,"grass"
27.7778,35.1111,-9.0,0.332407,107.0,-13.0,0.833333,2.66667,0.0,"window"
5.55556,6.66667,-7.66667,0.581349,122.0,4.33333,0.333333,0.277778,0.0,"brickface"
58.8889,72.6667,-21.3333,0.287394,103.0,-20.0,0.666667,0.944445,0.111111,"cement"
60.3333,74.8889,-23.3333,0.299511,188.0,-20.3333,1.11111,2.05556,0.0,"path"
0.740741,1.77778,-1.55556,0.407407,131.0,-1.55556,1.0,0.444444,0.0,"foliage"
15.1852,19.7778,-6.22222,0.353768,105.0,-7.55556,0.944445,6.27778,0.0,"window"
127.333,142.667,-14.3333,0.181475,20.0,-31.6667,1.27778,1.11112,0.0,"sky"
29.963,36.4444,-10.2222,0.275863,188.0,-9.22222,5.11111,1.44444,0.0,"path"
42.2593,47.3333,-10.1111,0.178226,73.0,-5.11111,1.0,1.33333,0.0,"cement"
0.925926,2.55556,-2.11111,1.0,118.0,-2.77778,0.333333,0.222222,0.0,"foliage"
49.6667,62.8889,-19.0,0.319474,22.0,-20.6667,1.38889,1.11111,0.0,"cement"
0.703704,1.88889,-2.11111,1.0,154.0,-1.44444,0.444444,0.111111,0.0,"window"
55.963,70.2222,-21.8889,0.309826,200.0,-20.8889,3.44445,3.44444,0.0,"path"
0.666667,1.77778,-1.33333,1.0,139.0,-2.0,0.333333,0.333333,0.0,"foliage"
0.555556,1.33333,-1.0,0.416667,142.0,-1.33333,0.277778,0.777778,0.0,"foliage"
137.889,147.889,-10.6667,0.111218,18.0,-19.3333,1.16667,1.0,0.0,"sky"
41.037,49.7778,-14.1111,0.275415,194.0,-12.1111,5.11111,2.61111,0.0,"path"
20.4815,26.1111,-15.7778,0.412662,81.0,-1.11111,2.72222,2.61111,0.111111,"brickface"
21.7037,27.5556,-16.1111,0.407364,116.0,-1.44444,1.55556,1.5,0.0,"brickface"
21.5556,28.6667,-9.33333,0.38675,120.0,-12.0,2.22222,1.33333,0.111111,"window"
49.7407,61.6667,-19.8889,0.300853,194.0,-15.8889,2.27778,1.72222,0.0,"path"
26.4815,35.7778,-19.1111,0.436895,72.0,-8.77778,1.77778,2.5,0.0,"brickface"
40.1852,49.7778,-15.2222,0.297096,73.0,-13.5556,2.27778,1.05556,0.0,"cement"
109.889,130.556,-22.6667,0.258604,33.0,-39.3333,0.611109,1.16667,0.0,"sky"
99.0,121.444,-25.3333,0.300019,44.0,-42.0,1.0,0.500001,0.0,"sky"
6.2963,4.22222,10.1111,0.582612,217.0,-3.88889,2.05556,0.777778,0.0,"grass"
2.18519,4.88889,-2.55556,0.95172,106.0,-5.55556,1.27778,0.611111,0.0,"foliage"
124.037,140.444,-16.4444,0.194622,49.0,-32.7778,1.77778,1.05556,0.0,"sky"
0.518518,1.55556,-1.55556,1.0,129.0,-1.55556,0.111111,0.222222,0.0,"foliage"
15.7407,14.0,12.4444,0.342408,188.0,-7.22222,2.33333,1.55556,0.0,"grass"
4.18518,8.55556,-6.22222,0.786175,139.0,-6.88889,0.722222,1.05556,0.0,"window"
109.074,128.333,-15.8889,0.258869,61.0,-41.8889,0.555556,0.611111,0.0,"sky"
123.815,138.111,-11.7778,0.178428,44.0,-31.1111,1.16667,0.722223,0.111111,"sky"
54.963,67.8889,-21.2222,0.296251,186.0,-17.5556,2.77778,2.33333,0.0,"path"
16.8148,23.7778,-10.7778,0.453341,149.0,-10.1111,0.666666,2.5,0.0,"cement"
0.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,0.0,"window"
122.852,140.0,-14.5556,0.210174,45.0,-36.8889,1.11111,0.888891,0.0,"sky"
57.8148,72.5556,-24.1111,0.314092,193.0,-20.1111,4.5,3.16667,0.0,"path"
21.4444,28.1111,-17.0,0.437404,85.0,-3.0,3.94444,3.11111,0.111111,"brickface"
6.18518,7.33333,-7.88889,0.550044,124.0,4.44444,0.666667,0.611111,0.0,"brickface"
5.51852,10.4444,-5.22222,0.872146,98.0,-9.55556,4.66667,3.94444,0.0,"foliage"
60.9259,76.4444,-21.4444,0.317206,125.0,-25.1111,2.05555,2.83333,0.0,"cement"
7.77778,5.55556,11.3333,0.543201,201.0,-4.66667,0.944444,1.44444,0.0,"grass"
19.4074,26.5556,-9.88889,0.418712,118.0,-11.5556,1.22222,2.83333,0.0,"window"
58.4074,72.4444,-20.8889,0.295523,189.0,-21.2222,3.77778,3.77778,0.0,"path"
23.7407,30.6667,-17.5556,0.415751,61.0,-3.22222,0.833333,1.05556,0.0,"brickface"
3.48148,7.44444,-4.44444,0.881217,81.0,-7.44444,0.777778,1.38889,0.0,"foliage"
16.1111,24.1111,-11.0,0.510924,114.0,-13.0,0.5,0.555555,0.0,"window"
46.8148,56.5556,-15.7778,0.264563,116.0,-13.4444,0.555555,1.77778,0.111111,"cement"
57.7407,72.6667,-22.8889,0.314783,65.0,-21.8889,1.55556,2.5,0.0,"cement"
6.03704,7.66667,-7.77778,0.562919,111.0,2.88889,0.888889,0.722222,0.0,"brickface"
16.5926,14.6667,16.8889,0.419597,236.0,-11.1111,3.77778,0.5,0.0,"grass"
32.1111,40.3333,-13.3333,0.315363,189.0,-11.3333,2.0,1.5,0.0,"path"
14.7037,13.5556,13.8889,0.423483,232.0,-10.4444,2.55556,2.5,0.0,"grass"
54.0,64.4444,-17.6667,0.252669,107.0,-13.6667,13.1667,1.55556,0.0,"cement"
21.4444,30.4444,-13.3333,0.452182,94.0,-13.6667,0.833333,0.500001,0.0,"window"
20.0,25.8889,-16.3333,0.436939,67.0,-1.33333,2.44444,1.0,0.111111,"brickface"
0.0,0.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,"window"
2.03704,3.55556,-0.111111,0.883333,98.0,-4.44444,1.33333,0.611111,0.0,"foliage"
55.8889,69.2222,-21.6667,0.29685,204.0,-18.3333,3.22222,2.0,0.0,"path"
23.5185,34.4444,-14.2222,0.496719,90.0,-18.5556,0.833333,0.666667,0.0,"window"
42.037,50.3333,-12.7778,0.249836,172.0,-12.1111,9.77778,1.16667,0.0,"path"
0.518518,1.55556,-1.55556,0.777778,129.0,-1.55556,0.388889,0.5,0.0,"foliage"
48.2222,60.4444,-19.6667,0.310818,139.0,-17.0,1.83333,2.44444,0.0,"cement"
20.1481,31.1111,-15.1111,0.54583,122.0,-17.7778,1.55556,2.77778,0.0,"foliage"
59.4815,70.8889,-18.4444,0.249001,32.0,-15.7778,0.833334,1.11111,0.0,"cement"
12.5185,10.3333,13.1111,0.407904,209.0,-6.55556,1.38889,1.83333,0.111111,"grass"
62.4074,79.1111,-23.2222,0.324556,28.0,-26.8889,0.833333,4.27778,0.0,"cement"
2.81481,6.88889,-5.44444,0.926146,90.0,-6.77778,0.666667,1.05556,0.0,"foliage"
62.0741,77.5556,-24.8889,0.306906,180.0,-21.5556,3.33333,4.05556,0.0,"path"
5.11111,6.77778,-6.66667,0.571429,146.0,1.66667,0.666667,0.5,0.0,"brickface"
126.333,140.222,-13.6667,0.165549,51.0,-28.0,1.5,1.16667,0.111111,"sky"
137.63,147.889,-14.2222,0.109655,22.0,-16.5556,1.0,1.16667,0.0,"sky"
49.4815,60.6667,-19.4444,0.290788,190.0,-14.1111,1.61111,1.27778,0.0,"path"
58.5926,72.6667,-23.1111,0.300181,200.0,-19.1111,6.05556,4.5,0.0,"path"
18.963,23.8889,-14.2222,0.402507,89.0,-0.555556,2.55556,1.22222,0.0,"brickface"
40.0,48.0,-7.66667,0.263846,163.0,-16.3333,18.1667,2.05556,0.0,"path"
36.6296,46.2222,-12.8889,0.294845,159.0,-15.8889,14.8333,3.55556,0.0,"path"
20.1852,24.8889,-14.2222,0.380367,104.0,0.111111,3.05556,1.55556,0.111111,"brickface"
40.4444,49.6667,-12.3333,0.298056,161.0,-15.3333,11.5,3.72222,0.0,"path"
0.407407,0.777778,-0.555556,0.240741,140.0,-0.555556,0.611111,0.166667,0.0,"window"
12.1481,10.3333,13.2222,0.432389,207.0,-7.77778,0.888889,2.72222,0.222222,"grass"
14.2963,14.1111,7.44444,0.318129,165.0,-6.88889,2.44444,0.333333,0.0,"grass"
7.51852,13.0,-8.22222,0.648657,36.0,-8.22222,0.5,0.388889,0.0,"window"
54.037,66.5556,-22.1111,0.298622,183.0,-15.4444,3.38889,1.05555,0.0,"path"
15.4074,22.6667,-10.5556,0.53355,92.0,-11.2222,1.0,8.05555,0.0,"window"
23.5926,29.3333,-9.77778,0.233097,189.0,-7.44444,12.3889,1.38889,0.0,"path"
143.444,150.889,-2.66667,0.092773,11.0,-19.6667,2.88889,1.0,0.0,"sky"
12.8148,9.77778,15.5556,0.463569,169.0,-6.44444,1.61111,0.833333,0.0,"grass"
8.37037,12.0,-5.77778,0.484805,162.0,-5.11111,0.333333,1.61111,0.111111,"cement"
90.3333,115.444,-29.0,0.35122,92.0,-46.3333,0.77778,0.833335,0.0,"sky"
2.07407,4.88889,-4.22222,0.877513,136.0,-4.22222,0.833333,0.277778,0.0,"window"
107.444,125.778,-16.6667,0.247337,50.0,-38.3333,0.944445,1.0,0.0,"sky"
22.7778,29.6667,-18.0,0.43357,71.0,-2.66667,2.83333,2.11111,0.111111,"brickface"
14.5926,13.7778,7.55556,0.248449,167.0,-5.11111,2.05556,0.888889,0.111111,"grass"
14.2222,13.1111,12.6667,0.389695,245.0,-9.33333,2.22222,1.38889,0.111111,"grass"
39.3333,47.7778,-13.6667,0.272752,120.0,-11.6667,8.33333,3.5,0.0,"cement"
125.407,138.778,-12.8889,0.161658,62.0,-27.2222,1.11111,0.555556,0.0,"sky"
93.1482,118.778,-29.4444,0.348863,58.0,-47.4444,1.0,1.16667,0.0,"sky"
19.2963,26.3333,-10.2222,0.408913,123.0,-10.8889,1.0,0.888888,0.0,"cement"
128.481,142.778,-14.4444,0.166484,29.0,-28.4444,1.38889,1.22222,0.0,"sky"
12.1852,20.8889,-9.55556,0.695755,136.0,-16.5556,2.11111,3.88889,0.0,"foliage"
127.444,143.111,-11.3333,0.19252,12.0,-35.6667,1.77778,0.777777,0.0,"sky"
40.0,48.0,-7.66667,0.263846,163.0,-16.3333,18.1667,2.05556,0.0,"path"
11.1481,19.5556,-11.7778,0.659329,87.0,-13.4444,0.611111,0.722222,0.0,"window"
136.296,145.556,-9.88889,0.10447,27.0,-17.8889,0.999997,1.27778,0.0,"sky"
22.3333,29.3333,-8.66667,0.378615,88.0,-12.3333,0.833333,0.722222,0.0,"window"
25.8889,22.4444,24.6667,0.388973,246.0,-14.3333,5.83333,3.16667,0.0,"grass"
122.37,138.111,-16.7778,0.187362,48.0,-30.4444,0.555555,0.555555,0.0,"sky"
39.2963,47.5556,-8.22222,0.284813,163.0,-16.5556,18.8889,1.44444,0.0,"path"
9.85185,16.5556,-8.55556,0.640224,141.0,-11.5556,0.777778,2.11111,0.111111,"window"
126.852,143.111,-14.8889,0.192456,31.0,-33.8889,0.888889,0.555556,0.0,"sky"
0.518518,1.55556,-1.55556,1.0,131.0,-1.55556,0.333333,0.222222,0.0,"foliage"
0.0,0.0,0.0,0.0,93.0,0.0,0.0,0.0,0.0,"window"
5.74074,6.22222,-6.55556,0.529982,132.0,5.11111,0.944444,0.5,0.0,"brickface"
55.1481,61.0,-14.4444,0.174579,96.0,-3.11111,0.944444,2.22222,0.222222,"cement"
53.4444,65.0,-16.3333,0.272721,192.0,-18.3333,7.44444,3.38889,0.0,"path"
6.0,9.77778,-7.0,0.620651,91.0,-4.33333,0.555555,0.5,0.0,"window"
12.0741,10.7778,12.1111,0.428864,186.0,-8.22222,1.5,0.888889,0.0,"grass"
65.2963,78.0,-21.5556,0.254697,104.0,-16.5556,1.5,0.944445,0.111111,"cement"
11.963,9.55556,16.4444,0.515187,197.0,-9.22222,4.55556,3.05556,0.0,"grass"
6.59259,11.2222,-8.11111,0.651153,90.0,-5.77778,0.555556,0.388889,0.0,"window"
1.37037,3.88889,-3.44444,1.0,125.0,-4.11111,0.5,0.611111,0.0,"foliage"
16.1852,20.0,-13.8889,0.447187,116.0,2.44444,4.77778,0.944445,0.0,"brickface"
32.3704,40.5556,-13.4444,0.313427,121.0,-11.1111,2.72222,2.16667,0.0,"cement"
15.7407,14.3333,14.1111,0.390957,161.0,-9.88889,0.777778,0.277778,0.0,"grass"
17.1111,23.4444,-4.33333,0.652043,87.0,-14.6667,13.2222,11.1667,0.0,"foliage"
10.5185,8.11111,16.1111,0.533307,249.0,-8.88889,2.77778,2.44444,0.0,"grass"
22.1852,19.7778,16.7778,0.316041,176.0,-9.55556,2.38889,0.777778,0.0,"grass"
21.4074,26.6667,-15.5556,0.390436,95.0,-0.222222,0.944444,1.22222,0.0,"brickface"
2.03704,5.55556,-4.77778,0.986111,99.0,-5.77778,1.0,0.777778,0.0,"foliage"
4.66667,5.77778,3.0,0.665344,90.0,-6.33333,2.44444,1.27778,0.0,"foliage"
110.296,130.222,-21.8889,0.249895,19.0,-37.8889,1.88889,1.05555,0.111111,"sky"
8.55556,7.55556,4.66667,0.309022,249.0,-1.66667,2.88889,2.44444,0.0,"grass"
59.1481,73.3333,-21.7778,0.293681,112.0,-20.7778,1.05556,0.611111,0.0,"cement"
18.7037,23.2222,-15.1111,0.410009,104.0,1.55556,1.5,2.22222,0.0,"brickface"
0.851852,1.44444,-0.222222,0.251852,145.0,-1.55556,1.27778,0.277778,0.0,"foliage"
0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,"foliage"
110.37,128.111,-15.1111,0.237567,58.0,-38.1111,0.888888,0.777777,0.0,"sky"
13.8519,13.1111,14.7778,0.486883,180.0,-12.5556,1.94444,1.11111,0.111111,"grass"
3.25926,8.0,-6.11111,0.944811,91.0,-8.11111,0.833333,1.44444,0.0,"foliage"
42.5926,47.7778,-10.7778,0.184999,66.0,-4.77778,9.22222,2.05556,0.0,"cement"
45.037,57.1111,-18.1111,0.322733,101.0,-18.1111,1.11111,1.11111,0.0,"cement"
8.7037,13.8889,-7.11111,0.771517,154.0,-8.44444,0.944444,11.6667,0.0,"window"
8.37037,11.7778,-6.44444,0.472975,158.0,-3.77778,1.16667,1.88889,0.111111,"cement"
9.96296,15.5556,-8.22222,0.608437,92.0,-8.55556,0.777778,7.38889,0.0,"window"
5.59259,6.66667,-7.77778,0.579365,113.0,4.55556,0.777778,0.5,0.0,"brickface"
44.5926,54.0,-15.4444,0.268186,17.0,-12.7778,5.0,3.72222,0.111111,"cement"
60.8148,74.8889,-22.7778,0.292382,194.0,-19.4444,9.11111,2.55556,0.0,"path"
127.037,141.778,-14.1111,0.174634,42.0,-30.1111,0.944444,1.27778,0.111111,"sky"
0.777778,2.33333,-2.33333,1.0,141.0,-2.33333,0.166667,0.444444,0.0,"window"
45.963,58.1111,-20.2222,0.325608,192.0,-16.2222,4.38889,2.38889,0.0,"path"
48.2593,58.6667,-18.1111,0.278195,184.0,-13.1111,5.83333,4.66667,0.0,"path"
43.5926,52.8889,-15.7778,0.266914,173.0,-12.1111,9.0,1.72222,0.0,"path"
18.7037,23.7778,-15.4444,0.42886,92.0,0.222222,2.16667,1.33333,0.0,"brickface"
24.5926,31.2222,-18.1111,0.401965,78.0,-1.77778,2.0,2.22222,0.0,"brickface"
56.8148,70.1111,-20.7778,0.290668,207.0,-19.1111,6.44444,2.72222,0.0,"path"
41.2963,50.4444,-14.8889,0.28056,194.0,-12.5556,5.38889,1.61111,0.0,"path"
58.9259,74.4444,-22.7778,0.317871,89.0,-23.7778,1.22222,2.0,0.0,"cement"
49.3333,59.5556,-18.6667,0.275889,185.0,-12.0,3.05556,1.55556,0.0,"path"
22.3704,29.6667,-15.7778,0.422651,63.0,-6.11111,1.94444,1.5,0.111111,"brickface"
49.8519,59.5556,-17.5556,0.260605,83.0,-11.5556,1.66667,0.777779,0.111111,"cement"
18.9259,26.8889,-10.7778,0.459024,85.0,-13.1111,0.222222,1.22222,0.0,"window"
20.2593,25.0,-14.4444,0.381059,102.0,0.222222,1.33333,1.22222,0.0,"brickface"
31.7778,43.7778,-14.0,0.441507,113.0,-22.0,1.0,2.5,0.0,"window"
12.4074,11.5556,12.1111,0.441049,215.0,-9.55556,2.77778,1.5,0.111111,"grass"
56.2593,69.8889,-21.7778,0.302283,185.0,-19.1111,2.22222,2.77778,0.111111,"path"
0.0,0.0,0.0,0.0,153.0,0.0,0.0,0.0,0.0,"window"
19.0741,24.1111,-15.5556,0.421504,73.0,0.444444,2.61111,1.38889,0.0,"brickface"
113.667,132.222,-17.6667,0.235894,55.0,-38.0,1.0,0.722224,0.0,"sky"
14.5185,17.1111,-12.5556,0.408644,114.0,4.77778,2.11111,1.16667,0.0,"brickface"
106.074,125.556,-16.5556,0.26644,67.0,-41.8889,3.83333,2.66667,0.111111,"sky"
58.963,73.3333,-24.8889,0.308825,182.0,-18.2222,3.55556,2.83333,0.0,"path"
41.8148,51.4444,-10.7778,0.302983,161.0,-18.1111,11.5,2.55556,0.0,"path"
58.6667,75.5556,-25.0,0.339917,44.0,-25.6667,2.11111,4.88889,0.0,"cement"
26.037,39.0,-16.1111,0.523538,115.0,-22.7778,2.72222,3.33333,0.0,"foliage"
50.2593,61.7778,-18.4444,0.287573,205.0,-16.1111,3.33333,1.94445,0.0,"path"
13.3333,12.1111,14.0,0.452229,243.0,-10.3333,2.0,1.88889,0.111111,"grass"
90.0741,116.556,-32.8889,0.360194,76.0,-46.5556,1.33333,0.833332,0.0,"sky"
42.8519,52.6667,-8.22222,0.37578,105.0,-21.2222,31.2222,10.7222,0.0,"foliage"
9.51852,14.3333,-7.88889,0.576021,39.0,-6.55556,0.611111,5.5,0.0,"window"
116.778,132.444,-24.0,0.181149,54.0,-23.0,0.944444,0.611109,0.0,"sky"
23.4074,31.4444,-11.8889,0.392149,116.0,-12.2222,0.777777,0.722223,0.0,"window"
15.037,12.8889,10.2222,0.330665,223.0,-3.77778,3.55556,1.5,0.111111,"grass"
46.1111,56.5556,-17.0,0.286663,200.0,-14.3333,1.77778,1.38889,0.0,"path"
8.44444,12.2222,-7.0,0.503086,158.0,-4.33333,1.38889,2.16667,0.0,"cement"
127.407,143.111,-15.8889,0.182398,49.0,-31.2222,1.16667,0.833336,0.0,"sky"
49.4815,60.8889,-19.7778,0.297341,187.0,-14.4444,5.11111,2.61111,0.111111,"path"
50.3704,64.7778,-21.1111,0.341229,143.0,-22.1111,1.22222,1.27778,0.0,"cement"
22.4074,28.8889,-17.2222,0.422206,74.0,-2.22222,0.666667,1.33333,0.111111,"brickface"
29.8148,33.4444,-7.44444,0.200662,76.0,-3.44444,15.0,1.38889,0.0,"cement"
60.1111,75.1111,-24.0,0.308465,193.0,-21.0,2.88889,3.22222,0.0,"path"
28.0,38.7778,-12.3333,0.447745,153.0,-20.0,3.0,5.0,0.0,"cement"
39.8889,49.5556,-6.33333,0.350169,66.0,-22.6667,10.9444,8.66667,0.0,"foliage"
34.3333,41.6667,-11.3333,0.293949,118.0,-10.6667,0.833334,11.5556,0.0,"cement"
16.2963,13.8889,15.4444,0.385555,181.0,-8.22222,2.05556,1.0,0.0,"grass"
1.77778,3.88889,-2.33333,0.923809,125.0,-4.0,0.833333,0.944445,0.0,"foliage"
19.7037,28.5556,-12.1111,0.479715,154.0,-14.4444,2.33333,3.22222,0.0,"cement"
134.778,145.778,-13.3333,0.121119,53.0,-19.6667,0.833333,0.722229,0.0,"sky"
133.111,145.667,-12.3333,0.144134,113.0,-25.3333,1.33333,0.5,0.0,"sky"
1.77778,4.55556,-3.66667,0.981482,107.0,-4.66667,1.11111,1.11111,0.111111,"foliage"
5.22222,9.55556,-7.0,0.696605,139.0,-6.0,0.277778,0.333333,0.0,"window"
