@relation credit_g_part1
@attribute checking_status{0_X_200,_0,_200,no_checking}
@attribute credit_history{all_paid,critical_other_existing_credit,delayed_previously,existing_paid,no_credits_all_paid}
@attribute credit_amount real
@attribute employment{1_X_4,4_X_7,_1,_7,unemployed}
@attribute housing{for_free,own,rent}
@attribute age real
@attribute personal_status{female_div_dep_mar,male_div_sep,male_mar_wid,male_single}
@attribute job{high_qualif_self_emp_mgmt,skilled,unemp_unskilled_non_res,unskilled_resident}
@attribute own_telephone{none,yes}
@attribute residence_since real
@attribute class{bad,good}
@data
"0_X_200","critical_other_existing_credit",5954.0,"4_X_7","own",41.0,"female_div_dep_mar","unskilled_resident","none",1.0,"good"
"_0","existing_paid",1977.0,"_7","own",40.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"_0","critical_other_existing_credit",1526.0,"_7","for_free",66.0,"male_single","high_qualif_self_emp_mgmt","none",4.0,"good"
"_0","existing_paid",3965.0,"_1","own",34.0,"male_single","skilled","none",3.0,"bad"
"0_X_200","delayed_previously",4771.0,"4_X_7","own",51.0,"male_single","skilled","none",4.0,"good"
"no_checking","no_credits_all_paid",9436.0,"1_X_4","own",39.0,"male_single","unskilled_resident","none",2.0,"good"
"0_X_200","existing_paid",3832.0,"_1","own",22.0,"male_mar_wid","skilled","none",1.0,"good"
"no_checking","existing_paid",5943.0,"_1","own",44.0,"female_div_dep_mar","skilled","yes",1.0,"bad"
"no_checking","existing_paid",1213.0,"_7","own",47.0,"male_single","skilled","yes",3.0,"good"
"no_checking","existing_paid",1568.0,"1_X_4","rent",24.0,"female_div_dep_mar","unskilled_resident","none",4.0,"good"
"_0","existing_paid",1755.0,"_7","own",58.0,"female_div_dep_mar","unskilled_resident","yes",4.0,"good"
"_0","existing_paid",2315.0,"_7","own",52.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","critical_other_existing_credit",1412.0,"1_X_4","own",29.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",2.0,"good"
"0_X_200","critical_other_existing_credit",1295.0,"_1","own",27.0,"female_div_dep_mar","skilled","none",1.0,"good"
"0_X_200","existing_paid",12612.0,"1_X_4","for_free",47.0,"male_single","skilled","yes",4.0,"bad"
"_0","existing_paid",2249.0,"4_X_7","own",30.0,"male_single","high_qualif_self_emp_mgmt","yes",3.0,"good"
"_0","no_credits_all_paid",1108.0,"4_X_7","own",28.0,"male_single","skilled","none",3.0,"bad"
"no_checking","critical_other_existing_credit",618.0,"_7","own",56.0,"male_single","skilled","none",4.0,"good"
"_0","critical_other_existing_credit",1409.0,"_7","own",54.0,"male_single","skilled","none",3.0,"good"
"no_checking","critical_other_existing_credit",797.0,"_7","own",33.0,"female_div_dep_mar","unskilled_resident","none",3.0,"bad"
"_200","critical_other_existing_credit",3617.0,"_7","rent",20.0,"male_single","skilled","none",4.0,"good"
"0_X_200","existing_paid",1318.0,"_7","own",54.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","no_credits_all_paid",15945.0,"_1","rent",58.0,"male_single","skilled","yes",4.0,"bad"
"no_checking","critical_other_existing_credit",2012.0,"4_X_7","own",61.0,"female_div_dep_mar","skilled","none",2.0,"good"
"0_X_200","existing_paid",2622.0,"1_X_4","own",34.0,"male_single","skilled","none",4.0,"good"
"0_X_200","critical_other_existing_credit",2337.0,"_7","own",36.0,"male_single","skilled","none",4.0,"good"
"0_X_200","delayed_previously",7057.0,"4_X_7","rent",36.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","existing_paid",1469.0,"_7","rent",41.0,"male_mar_wid","unskilled_resident","none",4.0,"good"
"0_X_200","existing_paid",2323.0,"4_X_7","rent",24.0,"male_single","skilled","none",4.0,"good"
"no_checking","delayed_previously",932.0,"1_X_4","own",24.0,"female_div_dep_mar","skilled","none",2.0,"good"
"0_X_200","critical_other_existing_credit",1919.0,"4_X_7","rent",35.0,"male_single","skilled","yes",3.0,"good"
"no_checking","existing_paid",2445.0,"_1","rent",26.0,"male_mar_wid","skilled","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",11938.0,"1_X_4","own",39.0,"male_single","high_qualif_self_emp_mgmt","yes",3.0,"bad"
"no_checking","all_paid",6458.0,"_7","own",39.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"0_X_200","existing_paid",6078.0,"4_X_7","own",32.0,"male_single","skilled","none",2.0,"good"
"_0","existing_paid",7721.0,"_1","own",30.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"0_X_200","existing_paid",1410.0,"_7","own",35.0,"male_mar_wid","skilled","yes",2.0,"good"
"0_X_200","delayed_previously",1449.0,"_7","own",31.0,"male_div_sep","skilled","none",2.0,"good"
"_200","existing_paid",392.0,"_1","rent",23.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"0_X_200","existing_paid",6260.0,"4_X_7","rent",28.0,"male_single","unskilled_resident","none",3.0,"good"
"no_checking","critical_other_existing_credit",7855.0,"1_X_4","own",25.0,"female_div_dep_mar","skilled","yes",2.0,"bad"
"_0","existing_paid",1680.0,"_7","own",35.0,"male_mar_wid","skilled","none",1.0,"good"
"no_checking","critical_other_existing_credit",3578.0,"_7","own",47.0,"male_single","skilled","yes",1.0,"good"
"_0","existing_paid",7174.0,"4_X_7","own",30.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",3.0,"bad"
"_0","critical_other_existing_credit",2132.0,"_1","rent",27.0,"female_div_dep_mar","skilled","none",3.0,"good"
"_0","critical_other_existing_credit",4281.0,"1_X_4","own",23.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"0_X_200","critical_other_existing_credit",2366.0,"4_X_7","own",36.0,"male_div_sep","high_qualif_self_emp_mgmt","yes",3.0,"good"
"_0","existing_paid",1835.0,"1_X_4","own",25.0,"female_div_dep_mar","skilled","yes",2.0,"bad"
"no_checking","critical_other_existing_credit",3868.0,"_7","rent",41.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",2.0,"good"
"no_checking","existing_paid",1768.0,"1_X_4","rent",24.0,"male_single","unskilled_resident","none",2.0,"good"
"_200","critical_other_existing_credit",781.0,"_7","for_free",63.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","existing_paid",1924.0,"_1","rent",27.0,"female_div_dep_mar","skilled","none",3.0,"bad"
"_0","critical_other_existing_credit",2121.0,"1_X_4","own",30.0,"male_single","skilled","none",2.0,"good"
"_0","existing_paid",701.0,"1_X_4","own",40.0,"male_mar_wid","unskilled_resident","none",2.0,"good"
"0_X_200","existing_paid",639.0,"1_X_4","own",30.0,"male_single","skilled","none",2.0,"bad"
"0_X_200","critical_other_existing_credit",1860.0,"unemployed","own",34.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"_0","critical_other_existing_credit",3499.0,"1_X_4","own",29.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"0_X_200","existing_paid",8487.0,"4_X_7","own",24.0,"female_div_dep_mar","skilled","none",2.0,"good"
"_0","delayed_previously",6887.0,"1_X_4","own",29.0,"male_single","skilled","yes",3.0,"bad"
"no_checking","existing_paid",2708.0,"_1","own",27.0,"male_single","unskilled_resident","none",3.0,"good"
"no_checking","existing_paid",1984.0,"1_X_4","for_free",47.0,"male_single","skilled","none",4.0,"good"
"no_checking","existing_paid",10144.0,"4_X_7","own",21.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",1240.0,"_7","own",38.0,"female_div_dep_mar","skilled","yes",2.0,"good"
"no_checking","delayed_previously",8613.0,"1_X_4","own",27.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",766.0,"1_X_4","own",66.0,"male_single","unskilled_resident","none",3.0,"bad"
"0_X_200","critical_other_existing_credit",2728.0,"4_X_7","own",35.0,"male_single","skilled","yes",2.0,"good"
"_200","existing_paid",1881.0,"1_X_4","rent",44.0,"female_div_dep_mar","unskilled_resident","yes",2.0,"good"
"_200","existing_paid",709.0,"_1","own",27.0,"male_mar_wid","unemp_unskilled_non_res","none",2.0,"good"
"0_X_200","existing_paid",4795.0,"_1","own",30.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",1.0,"good"
"_0","existing_paid",3416.0,"1_X_4","own",27.0,"male_single","high_qualif_self_emp_mgmt","none",2.0,"good"
"_0","existing_paid",2462.0,"1_X_4","own",22.0,"male_single","skilled","none",2.0,"bad"
"no_checking","critical_other_existing_credit",2288.0,"_1","own",23.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"0_X_200","all_paid",3566.0,"4_X_7","own",30.0,"male_single","skilled","none",2.0,"good"
"_0","critical_other_existing_credit",860.0,"_7","own",39.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",682.0,"4_X_7","own",51.0,"female_div_dep_mar","skilled","yes",3.0,"good"
"_0","critical_other_existing_credit",5371.0,"1_X_4","own",28.0,"male_single","skilled","none",2.0,"good"
"no_checking","critical_other_existing_credit",1582.0,"_7","own",46.0,"male_single","skilled","none",4.0,"good"
"no_checking","existing_paid",1346.0,"_7","for_free",42.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",1924.0,"1_X_4","own",38.0,"male_single","skilled","yes",4.0,"good"
"_200","existing_paid",5848.0,"1_X_4","own",24.0,"male_single","skilled","none",1.0,"good"
"0_X_200","critical_other_existing_credit",7758.0,"_7","rent",29.0,"female_div_dep_mar","skilled","none",4.0,"good"
"0_X_200","delayed_previously",6967.0,"4_X_7","rent",36.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"_0","existing_paid",1282.0,"1_X_4","rent",20.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"_0","critical_other_existing_credit",1288.0,"_7","own",48.0,"male_single","skilled","none",4.0,"good"
"_0","all_paid",339.0,"_7","own",45.0,"male_mar_wid","unskilled_resident","none",1.0,"good"
"0_X_200","existing_paid",3512.0,"4_X_7","own",38.0,"male_single","skilled","yes",3.0,"good"
"no_checking","critical_other_existing_credit",1898.0,"1_X_4","own",34.0,"male_single","unskilled_resident","none",2.0,"good"
"no_checking","critical_other_existing_credit",2872.0,"_7","own",36.0,"male_single","skilled","yes",4.0,"good"
"no_checking","critical_other_existing_credit",1055.0,"_1","own",30.0,"female_div_dep_mar","skilled","none",1.0,"good"
"no_checking","existing_paid",1262.0,"4_X_7","own",36.0,"male_single","skilled","yes",3.0,"good"
"0_X_200","existing_paid",7308.0,"unemployed","for_free",70.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","existing_paid",909.0,"_7","own",36.0,"male_single","skilled","none",4.0,"good"
"no_checking","existing_paid",2978.0,"1_X_4","own",32.0,"male_single","skilled","yes",2.0,"good"
"_0","existing_paid",1131.0,"unemployed","own",33.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"0_X_200","existing_paid",1577.0,"_1","own",20.0,"female_div_dep_mar","skilled","none",1.0,"good"
"no_checking","existing_paid",3972.0,"4_X_7","rent",25.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",1935.0,"_7","own",31.0,"male_div_sep","skilled","yes",4.0,"bad"
"_0","no_credits_all_paid",950.0,"_7","rent",33.0,"male_single","skilled","none",3.0,"bad"
"no_checking","existing_paid",763.0,"1_X_4","own",26.0,"female_div_dep_mar","skilled","yes",1.0,"good"
"0_X_200","delayed_previously",2064.0,"unemployed","own",34.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"0_X_200","existing_paid",1414.0,"1_X_4","own",33.0,"male_single","skilled","none",2.0,"good"
"_0","delayed_previously",3414.0,"_1","own",26.0,"male_single","skilled","none",1.0,"bad"
"no_checking","all_paid",7485.0,"unemployed","own",53.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",1.0,"bad"
"_0","existing_paid",2577.0,"1_X_4","own",42.0,"male_div_sep","skilled","none",1.0,"good"
"_0","critical_other_existing_credit",338.0,"_7","own",52.0,"male_single","skilled","none",4.0,"good"
"no_checking","existing_paid",1963.0,"4_X_7","rent",31.0,"male_single","high_qualif_self_emp_mgmt","yes",2.0,"good"
"_0","critical_other_existing_credit",571.0,"_7","own",65.0,"male_single","skilled","none",4.0,"good"
"no_checking","delayed_previously",9572.0,"_1","own",28.0,"male_div_sep","skilled","none",1.0,"bad"
"0_X_200","delayed_previously",4455.0,"1_X_4","own",30.0,"male_div_sep","high_qualif_self_emp_mgmt","yes",2.0,"bad"
"_0","all_paid",1647.0,"1_X_4","own",40.0,"male_single","unskilled_resident","none",2.0,"bad"
"no_checking","critical_other_existing_credit",3777.0,"1_X_4","own",50.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",884.0,"_7","own",36.0,"male_single","skilled","yes",4.0,"bad"
"no_checking","critical_other_existing_credit",1360.0,"1_X_4","own",31.0,"male_single","skilled","none",2.0,"good"
"0_X_200","all_paid",5129.0,"_7","for_free",74.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"0_X_200","critical_other_existing_credit",1175.0,"unemployed","for_free",68.0,"male_single","unemp_unskilled_non_res","yes",3.0,"good"
"_0","existing_paid",674.0,"4_X_7","own",20.0,"male_mar_wid","skilled","none",1.0,"bad"
"0_X_200","no_credits_all_paid",3244.0,"1_X_4","own",33.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","existing_paid",4591.0,"1_X_4","own",54.0,"male_single","high_qualif_self_emp_mgmt","yes",3.0,"bad"
"0_X_200","no_credits_all_paid",3844.0,"4_X_7","for_free",34.0,"male_single","unskilled_resident","none",4.0,"bad"
"0_X_200","existing_paid",3915.0,"1_X_4","own",36.0,"male_single","skilled","yes",2.0,"bad"
"no_checking","existing_paid",2108.0,"4_X_7","rent",29.0,"male_mar_wid","skilled","none",2.0,"good"
"0_X_200","existing_paid",3031.0,"1_X_4","rent",21.0,"male_single","skilled","none",4.0,"bad"
"0_X_200","critical_other_existing_credit",1501.0,"_7","own",34.0,"female_div_dep_mar","high_qualif_self_emp_mgmt","yes",3.0,"bad"
"no_checking","critical_other_existing_credit",1382.0,"1_X_4","own",28.0,"female_div_dep_mar","skilled","yes",1.0,"good"
"0_X_200","existing_paid",951.0,"_1","rent",27.0,"female_div_dep_mar","skilled","none",4.0,"bad"
"0_X_200","existing_paid",2760.0,"_7","for_free",36.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","delayed_previously",4297.0,"_7","own",40.0,"male_div_sep","high_qualif_self_emp_mgmt","yes",3.0,"bad"
"no_checking","critical_other_existing_credit",936.0,"_7","own",52.0,"male_single","skilled","yes",2.0,"good"
"_0","existing_paid",1168.0,"1_X_4","own",27.0,"male_mar_wid","unskilled_resident","none",3.0,"good"
"no_checking","delayed_previously",5117.0,"4_X_7","own",26.0,"male_single","skilled","none",4.0,"good"
"_0","existing_paid",902.0,"4_X_7","rent",21.0,"male_mar_wid","skilled","none",4.0,"bad"
"no_checking","critical_other_existing_credit",1495.0,"_7","own",38.0,"male_single","unskilled_resident","none",1.0,"good"
"_0","critical_other_existing_credit",10623.0,"_7","for_free",38.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"good"
"no_checking","critical_other_existing_credit",1935.0,"_7","own",43.0,"male_single","skilled","yes",4.0,"good"
"0_X_200","critical_other_existing_credit",1424.0,"4_X_7","own",26.0,"male_single","skilled","none",3.0,"good"
"_0","existing_paid",6568.0,"1_X_4","own",21.0,"male_mar_wid","unskilled_resident","none",2.0,"good"
"no_checking","existing_paid",1413.0,"4_X_7","own",55.0,"male_single","skilled","none",2.0,"good"
"no_checking","critical_other_existing_credit",3074.0,"1_X_4","own",33.0,"male_single","skilled","none",2.0,"good"
"no_checking","existing_paid",3835.0,"_7","own",45.0,"female_div_dep_mar","unskilled_resident","yes",4.0,"good"
"_0","no_credits_all_paid",5293.0,"unemployed","own",50.0,"male_single","skilled","yes",4.0,"bad"
"_200","delayed_previously",1908.0,"_7","own",66.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"no_checking","critical_other_existing_credit",3342.0,"_7","own",51.0,"male_single","skilled","yes",2.0,"good"
"0_X_200","critical_other_existing_credit",932.0,"4_X_7","own",39.0,"female_div_dep_mar","unskilled_resident","none",3.0,"good"
"_0","no_credits_all_paid",3104.0,"4_X_7","own",31.0,"male_single","skilled","yes",1.0,"good"
"_200","existing_paid",3913.0,"1_X_4","own",23.0,"male_single","skilled","yes",2.0,"good"
"_0","existing_paid",3021.0,"1_X_4","rent",24.0,"male_div_sep","unskilled_resident","none",2.0,"good"
"no_checking","existing_paid",1364.0,"1_X_4","own",64.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"0_X_200","existing_paid",625.0,"_1","own",26.0,"male_mar_wid","unskilled_resident","none",1.0,"good"
"_0","existing_paid",1200.0,"1_X_4","rent",23.0,"female_div_dep_mar","skilled","yes",4.0,"good"
"no_checking","existing_paid",707.0,"1_X_4","own",30.0,"male_single","skilled","none",2.0,"good"
"no_checking","delayed_previously",2978.0,"1_X_4","own",32.0,"male_single","skilled","yes",4.0,"good"
"no_checking","existing_paid",4657.0,"1_X_4","own",30.0,"male_single","skilled","yes",2.0,"good"
"no_checking","no_credits_all_paid",2613.0,"1_X_4","own",27.0,"male_single","skilled","none",2.0,"good"
"0_X_200","existing_paid",10961.0,"4_X_7","own",27.0,"male_single","skilled","yes",2.0,"bad"
"_0","existing_paid",7865.0,"_7","for_free",53.0,"male_single","high_qualif_self_emp_mgmt","yes",4.0,"bad"
"no_checking","existing_paid",1478.0,"4_X_7","own",22.0,"male_single","skilled","none",2.0,"bad"
"_0","existing_paid",3149.0,"_1","for_free",22.0,"male_single","skilled","none",1.0,"good"
"_200","existing_paid",4210.0,"1_X_4","own",26.0,"male_single","skilled","none",2.0,"bad"
"no_checking","existing_paid",2507.0,"_7","for_free",51.0,"male_single","unskilled_resident","none",4.0,"good"
"no_checking","existing_paid",2141.0,"4_X_7","own",35.0,"male_single","skilled","none",1.0,"good"
"0_X_200","existing_paid",866.0,"1_X_4","own",25.0,"male_mar_wid","unskilled_resident","none",2.0,"good"
"no_checking","critical_other_existing_credit",1544.0,"4_X_7","own",42.0,"male_single","unskilled_resident","none",1.0,"good"
"_0","existing_paid",1823.0,"unemployed","own",30.0,"male_single","high_qualif_self_emp_mgmt","none",2.0,"bad"
"0_X_200","existing_paid",14555.0,"unemployed","own",23.0,"male_single","unemp_unskilled_non_res","yes",2.0,"bad"
"0_X_200","existing_paid",2767.0,"_7","rent",61.0,"male_div_sep","unskilled_resident","none",2.0,"bad"
"no_checking","critical_other_existing_credit",1291.0,"1_X_4","own",35.0,"female_div_dep_mar","skilled","none",2.0,"good"
"_0","existing_paid",2522.0,"_7","own",39.0,"male_single","skilled","none",3.0,"good"
"_0","existing_paid",915.0,"_7","own",29.0,"female_div_dep_mar","skilled","none",2.0,"bad"
"no_checking","existing_paid",1595.0,"4_X_7","own",51.0,"male_single","skilled","none",2.0,"good"
"_0","no_credits_all_paid",4605.0,"_7","for_free",24.0,"male_single","skilled","none",4.0,"bad"
"no_checking","critical_other_existing_credit",1185.0,"1_X_4","own",27.0,"female_div_dep_mar","skilled","none",2.0,"good"
