@relation ionosphere_part2
@attribute a05 real
@attribute a29 real
@attribute a08 real
@attribute a23 real
@attribute a17 real
@attribute a11 real
@attribute a14 real
@attribute a20 real
@attribute a32 real
@attribute a26 real
@attribute a02 real
@attribute class{b,g}
@data
1.0,0.7911,0.02498,0.83668,0.88809,0.99274,0.10346,0.08631,0.1593,0.13412,0.0,"g"
-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,0.0,"b"
0.66626,0.43433,0.18761,0.5142,0.58373,0.63621,0.14285,0.41224,0.25792,0.23724,0.0,"g"
0.0,1.0,0.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,"b"
1.0,0.75784,-0.07649,0.9606,0.92124,1.0,-0.39489,-0.34534,-0.40575,-0.40372,0.0,"g"
0.0,-1.0,0.0,0.0,-1.0,0.0,0.0,1.0,1.0,0.0,0.0,"b"
1.0,0.49664,0.09313,0.64158,0.76544,0.89263,-0.06142,-0.05295,-0.00015,-0.07705,0.0,"g"
0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,-1.0,0.0,"b"
1.0,0.73094,-0.05131,0.80852,0.6917,1.0,-0.05202,-0.20367,-0.26284,-0.34838,0.0,"g"
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,"b"
1.0,0.4065,-0.81779,0.62357,0.81051,0.95473,-0.31736,-1.0,-0.92128,-0.82868,0.0,"g"
0.0,-1.0,1.0,0.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,"b"
1.0,0.74822,-0.13308,0.98042,1.0,1.0,0.59113,0.95099,1.0,1.0,0.0,"g"
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,0.0,"b"
1.0,1.0,-0.23656,1.0,1.0,1.0,-0.26161,-0.46162,-0.75761,-0.47643,0.0,"g"
1.0,1.0,-1.0,1.0,1.0,1.0,-0.0184,-0.85583,1.0,0.0,0.0,"b"
0.93408,0.50179,-0.1645,0.6615,0.80681,0.88462,-0.31463,-0.47022,-0.57377,-0.48086,0.0,"g"
0.41287,0.63811,-0.09473,0.51933,0.8227,1.0,1.0,-0.28257,-0.87354,-0.20392,0.0,"b"
0.72314,1.0,-0.58388,0.92599,1.0,1.0,-0.12527,0.2659,0.53372,0.14803,0.0,"g"
1.0,0.95982,-0.67321,1.0,0.17589,1.0,-0.89375,0.78036,0.65268,0.85357,0.0,"b"
1.0,0.85644,-0.0296,0.94815,0.92561,0.97839,-0.06544,-0.14327,-0.20101,-0.20851,0.0,"g"
1.0,-1.0,0.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,-1.0,0.0,"b"
0.94191,0.66387,0.05345,0.77041,0.88899,0.91911,0.12067,0.14439,0.10754,0.11299,0.0,"g"
0.99672,0.43481,0.07143,0.60138,0.76929,0.91036,0.5364,0.41003,0.14677,0.1639,0.0,"b"
1.0,0.19296,0.26281,0.40553,0.65954,0.86773,0.50082,0.62999,0.72688,0.72082,0.0,"g"
1.0,-1.0,-0.14375,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,0.0,"b"
0.86528,0.12635,0.16598,0.31274,0.51067,0.70207,0.42739,0.12967,0.55061,0.56527,0.0,"g"
1.0,1.0,-1.0,-0.84286,1.0,1.0,-0.37679,-1.0,-1.0,0.85714,0.0,"b"
0.99793,0.6101,-0.1943,0.74725,0.84922,0.92738,-0.37965,-0.57075,-0.80278,-0.68479,0.0,"g"
0.0,-1.0,0.0,0.0,-0.375,1.0,0.0,-1.0,0.0,-1.0,0.0,"b"
1.0,0.81433,-0.11039,0.87874,0.91236,0.98941,-0.21695,-0.32152,-0.47977,-0.4299,0.0,"g"
-1.0,1.0,0.35639,-0.73864,0.91921,1.0,-0.0055,-0.50424,0.20477,-0.46734,0.0,"b"
0.98103,0.78546,-0.05699,0.86257,0.94217,0.99004,-0.11102,-0.192,-0.23095,-0.19689,0.0,"g"
1.0,-1.0,0.0,0.53448,-0.55711,0.0,0.0,0.63147,0.0,0.44828,0.0,"b"
0.43644,0.61582,-0.00267,0.4661,0.75,0.81121,0.54991,-0.20104,-0.25706,-0.02778,0.0,"g"
1.0,-1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,"b"
1.0,1.0,1.0,-0.52838,-1.0,-0.83152,1.0,-0.42052,-0.34686,-1.0,0.0,"g"
-1.0,-1.0,0.63317,-1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,"b"
0.97487,0.92059,-0.08484,0.9014,0.9963,0.94717,-0.16795,-0.35902,-0.39061,-0.40747,0.0,"g"
-1.0,-1.0,1.0,-1.0,-0.02753,-0.82143,-1.0,-0.42113,-1.0,0.2381,0.0,"b"
1.0,0.8292,-0.06682,0.95601,1.0,1.0,-0.12738,-0.17639,-0.22765,-0.92284,0.0,"g"
1.0,1.0,1.0,1.0,-1.0,1.0,-0.1875,-1.0,0.0,-1.0,0.0,"b"
0.94525,0.88568,0.13231,0.90784,0.90896,0.94846,0.14644,0.16265,0.29576,0.22431,0.0,"g"
-1.0,-1.0,0.0,-1.0,0.80521,-1.0,0.0,0.14375,0.0,0.9625,0.0,"b"
1.0,0.62764,0.22574,0.74829,0.85529,0.9493,0.24288,0.33129,0.47033,0.34658,0.0,"g"
0.0,-1.0,0.0,0.08333,0.22813,0.0,0.0,-0.42292,0.0,-0.16667,0.0,"b"
0.99352,0.35684,0.33347,0.55586,0.78473,0.91408,0.46899,0.56977,0.66844,0.55236,0.0,"g"
0.20833,1.0,1.0,-1.0,-0.51535,-0.66886,0.58772,-0.03289,-1.0,-1.0,0.0,"b"
1.0,1.0,0.18593,1.0,0.97613,0.93844,-0.1608,-0.24497,0.19849,0.10678,0.0,"g"
1.0,0.37681,-1.0,0.8913,1.0,1.0,0.60598,-0.43025,0.22464,-0.33333,0.0,"b"
1.0,0.86747,0.07764,0.99933,0.9575,0.98762,0.05489,-0.08668,-0.22021,-0.39056,0.0,"g"
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,"b"
0.81309,0.25773,1.0,-0.37671,-0.39046,-0.43872,0.77092,-0.42822,-0.35222,-1.0,0.0,"g"
1.0,0.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,0.0,"b"
1.0,0.85611,0.26968,1.0,1.0,1.0,0.38643,0.53846,0.85611,0.68326,0.0,"g"
1.0,-1.0,-1.0,1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,"b"
0.9676,0.24944,0.27451,0.48339,0.73242,0.92867,0.52517,0.7314,0.86835,0.74689,0.0,"g"
0.0,0.0,0.69841,0.0,0.21032,0.0,0.0,0.78175,0.0,0.27381,0.0,"b"
1.0,0.49538,0.19498,0.79578,0.89126,1.0,0.38261,0.58801,0.71689,0.63942,0.0,"g"
0.0,1.0,-1.0,-1.0,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,"b"
1.0,0.53952,0.16159,0.70331,0.81939,0.98703,0.37639,0.46994,0.63636,0.59723,0.0,"g"
1.0,-1.0,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,"b"
1.0,0.10819,0.72973,0.89647,1.0,1.0,1.0,1.0,1.0,1.0,0.0,"g"
1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,-1.0,-1.0,0.0,"b"
1.0,1.0,0.09557,1.0,1.0,1.0,-0.40559,-0.61538,-0.78555,-0.58042,0.0,"g"
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,"b"
0.92679,0.09694,0.24618,0.34232,0.60459,0.78801,0.46983,0.64924,0.77072,0.76146,0.0,"g"
0.82332,-0.04779,0.32862,-0.00083,0.18681,1.0,0.44523,0.36353,0.07064,0.19405,0.0,"b"
0.6568,0.5355,0.02811,0.34615,0.7855,0.63462,0.0784,-0.01479,-0.14053,0.02811,0.0,"g"
0.97464,0.32463,1.0,0.83209,0.66791,0.54478,-0.8209,-0.11567,0.13521,0.16418,0.0,"b"
0.76981,0.66792,0.03774,0.73962,0.76981,0.64528,-0.13962,-0.07925,0.03774,-0.15094,0.0,"g"
0.89241,0.42273,0.72727,0.98636,0.50455,0.48182,0.09559,0.1,0.14643,0.32727,0.0,"b"
0.40392,0.46275,0.12941,0.58039,0.58039,0.56471,0.08235,0.0,0.23529,0.00392,0.0,"g"
0.35,-1.0,0.27955,-0.18636,0.02727,0.04517,0.33636,0.12727,-0.07464,-0.04802,0.0,"b"
1.0,0.80901,0.19206,1.0,0.69206,0.90558,0.25,0.39056,0.70923,0.52039,0.0,"g"
-0.31745,0.77884,-0.56435,-0.34128,0.85701,0.89514,0.63966,-0.15729,-0.7817,-0.03718,0.0,"b"
0.64348,0.48348,0.38261,0.53246,0.38696,0.5,-0.23043,-0.26087,-0.25217,-0.12174,0.0,"g"
-0.33746,-0.1517,-0.13932,-0.63777,0.16409,0.20743,0.08978,0.03406,0.5582,0.65635,0.0,"b"
0.45331,0.34635,-0.00509,0.28183,0.81664,0.52462,-0.04754,-0.04244,-0.01868,-0.03176,0.0,"g"
0.0,-1.0,0.06874,-0.42572,-0.02661,0.38359,0.53215,0.84922,0.1286,0.8071,0.0,"b"
0.79299,-0.72369,0.50515,-0.57135,-0.12611,0.44303,0.87493,0.79617,-0.05525,0.39951,0.0,"g"
0.82683,-0.82366,0.58732,-0.77408,-0.3202,0.31409,0.93945,0.79525,-0.33662,0.17849,0.0,"g"
0.0,-1.0,-0.78502,-1.0,1.0,-1.0,0.0,-0.63518,-1.0,-0.59609,0.0,"b"
0.79074,0.65707,0.03793,0.68183,0.70681,0.67801,0.07348,0.0,0.14697,0.15445,0.0,"g"
0.0,1.0,-0.99265,0.18382,0.72059,-0.41912,0.0,-0.60294,-1.0,-1.0,0.0,"b"
0.96215,0.94599,-0.03436,1.0,1.0,0.99026,-0.09002,-0.11813,-0.22561,-0.22083,0.0,"g"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"b"
0.63318,0.81428,-0.18242,0.93126,0.99273,0.92003,-0.24719,-0.21018,-0.31857,-0.19233,0.0,"g"
0.0,0.06061,-1.0,0.0,0.59091,0.64394,-0.84848,-0.80682,-0.70076,0.17803,0.0,"b"
1.0,1.0,-0.87052,1.0,1.0,1.0,-0.12493,-0.20491,-0.4074,-0.29852,0.0,"g"
0.0,0.0,0.0,0.0,0.36585,0.62195,0.0,-1.0,0.0,0.0,0.0,"b"
0.84082,0.94294,-0.16431,0.87836,0.93881,0.96484,0.02966,-0.08935,-0.25741,-0.19872,0.0,"g"
0.0,0.55405,0.0,0.0,0.37162,0.31081,0.0,-1.0,0.0,-1.0,0.0,"b"
0.9915,0.8102,-0.9745,0.7012,1.0,1.0,-0.86402,-0.88952,-1.0,-0.76904,0.0,"g"
0.0,-0.12879,0.0,0.0,0.62121,1.0,0.0,-1.0,0.0,0.0,0.0,"b"
0.8092,-0.57241,0.55785,-0.6023,-0.17241,0.36705,0.85671,0.65747,-0.19923,0.25747,0.0,"g"
0.0,0.0,-1.0,0.0,0.67,0.43,0.0,-1.0,0.0,0.68,0.0,"b"
0.91404,-0.64962,0.72144,-0.74102,-0.34168,0.27639,0.88248,0.64527,-0.44505,0.03591,0.0,"g"
-0.72973,0.0,0.55735,-3e-05,0.01108,-0.18599,-0.0897,0.00097,0.0,2e-05,0.0,"b"
0.33333,0.19048,0.19048,0.21429,0.28571,0.40476,-0.04762,0.04762,-0.02034,-0.04762,0.0,"g"
1.0,0.32787,-0.01639,1.0,0.19672,0.85246,0.0,-0.17176,-0.44262,-0.34426,0.0,"b"
0.88627,0.67273,0.04572,0.68604,0.62727,0.69091,0.08436,0.12727,0.16465,0.22727,0.0,"g"
-0.78824,0.57143,-0.76378,-0.47651,0.46429,0.82143,0.30729,0.05952,-0.29915,0.70238,0.0,"b"
1.0,0.82222,-0.06889,1.0,0.86889,0.83556,-0.07287,-0.03778,-0.15609,0.03556,0.0,"g"
0.58182,0.34545,-0.67273,0.61818,0.2,0.29091,0.29091,0.05455,-0.36364,0.16364,0.0,"b"
1.0,0.9434,-0.0566,0.9519,0.98878,1.0,0.07547,0.0,0.43396,0.79245,0.0,"g"
-0.7619,1.0,-0.14286,0.16667,-0.38214,-0.67285,0.0,0.02381,-0.04762,-0.10234,0.0,"b"
0.58333,0.41667,0.0,0.25,0.4375,0.47917,0.10417,-0.22917,-0.3125,-0.1875,0.0,"g"
0.0,1.0,0.0,0.6203,0.64662,0.47744,0.45489,0.0,0.0,-1.0,0.0,"b"
0.93614,0.9033,0.19152,0.46773,0.66145,0.90023,0.34328,0.59862,0.3962,0.44199,0.0,"g"
0.82809,0.62958,0.70709,0.8667,0.95452,0.97311,-0.85727,0.18135,0.81007,-0.30063,0.0,"b"
1.0,0.90978,0.02555,0.97889,1.0,0.98955,-0.03096,0.01557,-0.10797,-0.15675,0.0,"g"
-0.33672,0.0,0.0,-0.18043,0.94155,0.97078,-0.59212,0.0,0.61881,0.0,0.0,"b"
1.0,0.9702,-0.00763,1.0,1.0,0.9982,-0.01271,0.00025,-0.03855,-0.04527,0.0,"g"
0.98919,0.0,-0.05405,1.0,1.0,0.93243,-0.2,0.0,-0.25946,0.0,0.0,"b"
0.34146,0.1741,0.03466,0.23698,0.36585,0.43313,0.04878,0.07317,0.0,0.09756,0.0,"g"
1.0,1.0,0.0,1.0,1.0,1.0,-1.0,0.0,-1.0,0.0,0.0,"b"
0.46939,-0.59184,0.20408,-0.28571,-0.06122,0.30612,0.55102,0.55102,0.0,0.22449,0.0,"g"
1.0,0.0,0.0,1.0,1.0,1.0,-0.25342,0.0,-1.0,0.0,0.0,"b"
0.91176,-0.55147,0.67647,-0.86029,-0.375,0.19118,0.86029,0.47794,-0.50735,-0.125,0.0,"g"
0.22222,-1.0,-0.70984,0.94118,-0.98039,-1.0,0.33987,-0.54248,0.02614,-0.43137,0.0,"b"
0.53333,0.4,-0.13333,0.7,0.53333,0.56667,0.08333,-0.01667,0.03333,0.13333,0.0,"g"
-0.27303,0.00026,-0.04444,-0.00114,-0.00093,0.04461,0.02726,-0.00153,0.00015,-0.0005,0.0,"b"
0.64865,0.58478,-0.24324,0.75676,0.32432,1.0,0.0,-0.17666,-0.59459,-0.2973,0.0,"g"
-1.0,0.90234,-0.01563,-0.93359,0.95313,0.93359,0.16406,-0.02734,-0.1875,-0.00391,0.0,"b"
0.93757,0.97399,0.01214,0.93815,0.9948,0.96936,-0.03064,0.01792,-0.0341,-0.04451,0.0,"g"
1.0,1.0,-0.11111,1.0,1.0,1.0,-0.11111,-0.42862,-0.63156,-0.27778,0.0,"b"
0.24138,-0.00018,-0.06897,-0.00028,0.00281,0.03649,-0.02383,-0.00523,-0.00012,-0.0009,0.0,"g"
0.72549,0.56863,-0.07843,0.66667,0.54902,0.68627,-0.13725,-0.21569,-0.21569,-0.2549,0.0,"b"
0.46667,-0.00294,0.23966,-0.01726,-0.03766,0.0107,0.10188,0.01532,-0.00408,-0.00539,0.0,"g"
0.0625,-0.71875,0.0625,0.0,0.15625,0.1875,0.09375,-0.375,0.0,-0.46875,0.0,"b"
1.0,1.0,-0.06486,1.0,0.95135,0.98919,0.08649,-0.00541,0.02703,0.09189,0.0,"g"
1.0,0.84496,1.0,1.0,0.81395,0.83721,0.27153,0.11628,0.87317,0.03876,0.0,"b"
1.0,0.87701,0.01604,0.9893,1.0,0.93583,0.0,0.04278,0.09091,0.05348,0.0,"g"
0.23,-0.47,0.3175,0.29908,-0.0875,0.36285,0.275,0.31408,-0.31228,-0.24,0.0,"b"
0.63333,0.6,0.06667,0.76667,0.7,0.63333,0.0,0.1,0.16667,0.13333,0.0,"g"
0.06704,0.03073,-0.01117,0.02793,0.0,0.01676,0.05307,0.07542,0.0,0.00559,0.0,"b"
0.72554,0.36752,0.82455,-0.30851,-0.66455,-0.24871,0.56079,-0.19525,-0.22535,-0.64792,0.0,"g"
-0.02586,0.02586,0.04598,-0.03736,-0.09483,0.01724,0.0431,0.05172,0.01149,-0.00862,0.0,"b"
0.79704,0.74089,0.00197,0.74778,0.80099,0.78424,0.03251,-0.02956,0.02956,-0.01478,0.0,"g"
0.00428,0.01997,-0.01997,0.05136,-0.04708,-0.0485,-0.02282,0.03566,-0.01854,0.01854,0.0,"b"
0.42328,0.15873,0.47619,-0.14815,-0.51587,-0.02116,0.31217,-0.1164,-0.24339,0.00265,0.0,"g"
0.13959,0.11213,-0.08238,0.11213,0.29062,0.23341,0.0778,0.07323,-0.07323,-0.10297,0.0,"b"
0.48263,0.45521,0.77514,0.71481,-0.38391,-0.73675,0.0,-0.69287,0.54479,-0.05484,0.0,"g"
0.0409,0.00564,0.01128,0.01834,-0.0409,0.00282,-0.03103,-0.00423,-0.02398,-0.01269,0.0,"b"
0.81927,0.88125,-0.04182,0.90515,0.83719,0.86258,-0.06124,-0.1419,-0.01942,-0.01942,0.0,"g"
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,"b"
0.38887,0.3783,0.98903,0.64649,-0.6603,-0.76229,0.10768,-0.86063,0.66315,-0.23324,0.0,"g"
1.0,1.0,-1.0,0.3125,1.0,0.025,1.0,1.0,1.0,1.0,0.0,"b"
0.62745,0.72549,1.0,0.7451,-0.64706,-0.82353,0.11765,-0.86275,0.90196,-0.21569,0.0,"g"
-1.0,0.0,1.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.4375,0.0,"b"
0.53695,0.57454,1.0,0.77778,-0.66667,-1.0,-0.11111,-1.0,1.0,0.0,0.0,"g"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"b"
1.0,0.75,0.5,1.0,0.75,0.91201,0.1421,0.5,0.29074,0.5,0.0,"g"
1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,-1.0,-1.0,0.0,"b"
1.0,1.0,0.11111,0.66667,0.77778,0.88889,-0.22222,-0.11111,-0.11111,0.0,0.0,"g"
0.0,-1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,1.0,0.0,0.0,"b"
1.0,1.0,0.09091,1.0,1.0,1.0,-0.27273,0.0,-0.27273,-0.09091,0.0,"g"
0.0,0.43182,0.0,-0.57576,-0.53788,0.42803,0.51894,-0.14773,-0.02273,-0.27273,0.0,"b"
1.0,1.0,0.41176,1.0,1.0,1.0,0.11765,-0.11765,0.35294,-0.11765,0.0,"g"
-1.0,-0.2234,0.51064,0.17021,0.0,-1.0,-0.59043,-0.07979,0.90426,0.0,0.0,"b"
0.83333,1.0,0.25,0.75,0.875,0.91667,0.125,0.08333,0.0,-0.125,0.0,"g"
0.0,0.125,0.0,-0.05128,0.0,0.0,-0.19071,0.0,-0.04808,0.08974,0.0,"b"
1.0,0.37941,-0.29802,0.58829,0.73084,0.96662,-0.47265,-0.63544,-0.88846,-0.96296,0.0,"g"
-1.0,1.0,-0.82456,-0.29825,0.72807,0.46053,0.05702,0.5307,0.20175,-0.66667,0.0,"b"
0.99815,0.12777,-0.30133,0.53176,0.47194,0.70643,-0.30539,-0.55059,-0.51329,-0.52142,0.0,"g"
1.0,-1.0,0.0,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,0.0,"b"
0.96419,-0.07162,-0.22602,0.33509,0.37254,0.79271,-0.49639,-0.72109,-0.54074,-0.63601,0.0,"g"
-0.50694,1.0,-1.0,0.0,0.0,0.0,-1.0,1.0,-1.0,1.0,0.0,"b"
0.5,0.64135,0.9346,0.51477,-0.62869,-0.72363,0.19409,-0.85654,0.62447,-0.28903,0.0,"g"
0.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,0.0,"b"
1.0,1.0,1.0,-1.0,-1.0,-1.0,1.0,-0.66667,-1.0,-1.0,0.0,"g"
-1.0,1.0,0.0,0.0,0.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,"b"
1.0,1.0,0.22108,1.0,-0.375,1.0,0.48981,0.0,1.0,1.0,0.0,"g"
0.0,0.0,0.0,1.0,0.0,0.0,0.0,-1.0,0.0,-1.0,0.0,"b"
0.58264,-0.02612,-0.21384,0.06556,0.20269,0.38096,-0.31997,-0.29052,-0.1895,-0.25124,0.0,"g"
0.0,-0.22917,0.0,-0.16667,0.0,1.0,0.26042,0.0,-0.27083,0.5,0.0,"b"
0.99363,0.27381,0.14756,0.45582,0.66775,0.66026,0.25283,0.29304,0.21378,0.27226,0.0,"g"
-1.0,1.0,-1.0,-1.0,0.47364,0.81349,-1.0,1.0,-0.3254,0.36508,0.0,"b"
0.60761,0.98544,-0.40129,0.75081,0.84628,0.96197,0.08172,-0.14482,-0.10194,-0.02589,0.0,"g"
1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,"b"
1.0,0.91165,-0.10401,0.99624,0.95802,1.0,-0.06861,-0.15633,-0.13722,-0.01253,0.0,"g"
-1.0,-0.00403,1.0,-0.11976,0.48684,0.74597,-0.79313,-0.27461,0.00108,0.06639,0.0,"b"
0.80804,0.75638,-0.07653,0.90306,1.0,0.70217,0.02105,0.07717,-0.1875,-0.14541,0.0,"g"
0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,"b"
1.0,0.26352,-0.35094,0.54465,0.69748,0.92736,-0.44119,-0.57579,-0.73145,-0.73333,0.0,"g"
0.0,1.0,0.0,-0.6,-1.0,0.0,-1.0,-1.0,1.0,1.0,0.0,"b"
0.95455,0.95455,0.0,0.77273,1.0,0.95455,0.04545,0.0,-0.09091,0.04545,0.0,"g"
-1.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,"b"
0.97059,0.94118,0.08824,0.88235,1.0,0.97059,0.14706,0.0,0.05882,0.02941,0.0,"g"
-1.0,1.0,1.0,-1.0,0.28301,-1.0,1.0,1.0,-0.32317,-1.0,0.0,"b"
0.83781,0.52632,0.02615,0.70301,0.84211,0.68421,0.05028,0.05263,0.09534,0.21053,0.0,"g"
0.0,0.0,1.0,-0.34615,0.0,0.0,0.0,0.92949,0.0,0.0,0.0,"b"
1.0,1.0,0.63636,1.0,1.0,1.0,-0.45455,-0.27273,0.63636,-0.09091,0.0,"g"
1.0,0.0,1.0,1.0,0.0,1.0,-1.0,0.0,0.5,1.0,0.0,"b"
0.63636,0.27273,0.18182,0.27273,0.63636,0.36364,-0.09091,0.0,0.0,-0.09091,0.0,"g"
0.0,0.0,0.64516,0.0,0.0,0.0,0.0,0.0,0.0,0.23387,0.0,"b"
1.0,1.0,0.71429,1.0,0.42857,0.85714,0.02534,0.03617,0.57143,-0.28571,0.0,"g"
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,"b"
0.53945,0.52798,0.95275,0.51557,-0.59383,-0.73939,0.16731,-0.82881,0.56573,-0.24843,0.0,"g"
1.0,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,0.0,"b"
0.89266,0.22307,0.19791,0.42546,0.60101,0.80619,0.40552,0.5218,0.49124,0.55274,0.0,"g"
1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,"b"
0.93716,-0.33169,0.38779,0.00494,0.41629,0.72352,0.75,0.85952,0.64363,0.7978,0.0,"g"
-1.0,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,0.0,0.0,"b"
0.73061,-0.23832,0.19038,-0.08856,0.15215,0.44793,0.57308,0.575,0.23896,0.40006,0.0,"g"
1.0,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,0.0,"b"
0.9412,0.07497,0.32248,0.35289,0.58548,0.8555,0.52284,0.70398,0.77702,0.7621,0.0,"g"
1.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,"b"
0.86399,-0.46799,0.3679,-0.18479,0.19128,0.57449,0.74676,0.76171,0.40732,0.65708,0.0,"g"
1.0,0.0,1.0,1.0,-1.0,0.0,-1.0,0.0,1.0,0.0,0.0,"b"
0.65926,0.43227,0.87892,-0.16449,-0.7894,-0.39597,0.56502,-0.30942,-0.09461,-0.61055,0.0,"g"
1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1.0,-1.0,0.0,"b"
0.80151,0.12473,0.15266,0.5312,0.49672,1.0,0.28954,-0.02845,0.49721,0.57549,0.0,"g"
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"b"
0.97287,0.97473,0.00372,0.96358,0.94277,0.94054,0.04719,-0.00706,0.07061,0.08101,0.0,"g"
-1.0,0.0,-1.0,1.0,0.0,0.0,-1.0,0.0,-1.0,0.0,0.0,"b"
0.71442,0.38228,0.02258,0.63077,0.67023,0.34615,0.04393,-0.04662,0.09046,0.18065,0.0,"g"
0.91973,0.7107,0.04348,0.60201,0.93478,0.86789,0.18227,0.18729,-0.06522,-0.53846,0.0,"b"
1.0,0.78889,-0.85741,1.0,0.49259,0.45556,-0.12581,-0.05926,-0.27105,-0.26481,0.0,"g"
0.41245,-0.14786,0.24125,0.07782,-0.03891,0.19455,0.36965,0.24903,0.31128,0.28482,0.0,"b"
0.75198,0.61706,-0.0119,0.59127,0.70833,0.61706,-0.02381,0.01587,-0.01389,0.03968,0.0,"g"
-0.04433,-0.05911,-0.02463,0.06897,0.0197,0.06404,-0.09852,-0.2069,0.05419,0.16256,0.0,"b"
0.70694,0.63311,0.01678,0.60962,0.83669,0.71029,-0.00224,-0.0906,-0.05145,-0.09508,0.0,"g"
