@relation sonar_all_data_part5
@attribute s10 real
@attribute s45 real
@attribute s5 real
@attribute s20 real
@attribute s35 real
@attribute s15 real
@attribute s25 real
@attribute s60 real
@attribute s55 real
@attribute s40 real
@attribute s50 real
@attribute s30 real
@attribute class{M,R}
@data
0.1767,0.1017,0.0839,0.9399,0.2867,0.4169,0.7007,0.0079,0.0046,0.4767,0.0179,0.2891,"M"
0.1799,0.1256,0.1217,0.9584,0.2551,0.5258,0.6367,0.0025,0.0097,0.2142,0.0174,0.4789,"M"
0.1975,0.2395,0.0419,0.7939,0.4282,0.5872,0.7434,0.0198,0.0053,0.3494,0.0065,0.3346,"M"
0.1725,0.1427,0.1296,0.8856,0.0619,0.5369,0.9074,0.0067,0.0164,0.2939,0.0281,0.4016,"M"
0.2227,0.1535,0.1117,0.8702,0.1323,0.3755,1.0,0.0039,0.0074,0.3806,0.0313,0.5986,"M"
0.1444,0.1881,0.1409,0.7435,0.2189,0.398,0.9536,0.0033,0.0096,0.2276,0.0194,0.7196,"M"
0.2013,0.1376,0.1364,0.8107,0.1165,0.4325,0.9716,0.0023,0.0022,0.1103,0.0169,0.5711,"M"
0.1508,0.1625,0.0432,0.6749,0.0946,0.401,0.9738,0.0031,0.0112,0.2945,0.005,0.602,"M"
0.1779,0.1278,0.063,0.8092,0.1117,0.4393,0.9376,0.003,0.0062,0.2715,0.0227,0.6018,"M"
0.2531,0.0673,0.1218,0.8098,0.0488,0.5205,0.9776,0.0074,0.0012,0.2232,0.0193,0.5758,"M"
0.2122,0.1119,0.0822,0.6788,0.0809,0.5095,1.0,0.0093,0.0043,0.2412,0.033,0.5572,"M"
0.2718,0.131,0.1267,0.6997,0.182,0.5364,0.7884,0.0067,0.0079,0.2039,0.0131,0.5215,"M"
0.3517,0.1854,0.1117,0.8453,0.3674,0.5196,0.9357,0.0036,0.014,0.194,0.0191,0.5667,"M"
0.4186,0.1499,0.0862,0.9922,0.1229,0.8573,0.5893,0.0124,0.0196,0.263,0.0086,0.4439,"M"
0.4125,0.1393,0.1064,0.8501,0.1834,0.9137,0.7806,0.0023,0.0372,0.3444,0.0325,0.3391,"M"
0.2597,0.1064,0.0255,0.8982,0.1906,0.7924,0.6718,0.0126,0.0032,0.3006,0.0183,0.3822,"M"
0.2067,0.0679,0.1776,0.7832,0.2753,0.6777,0.486,0.0051,0.0065,0.2736,0.0272,0.3369,"M"
0.3083,0.1967,0.2252,0.7886,0.1677,0.8392,0.2076,0.01,0.0185,0.118,0.0473,0.1671,"M"
0.5378,0.5214,0.0232,0.8395,0.8626,0.3907,0.1348,0.0086,0.0166,0.6086,0.0507,0.6502,"M"
0.5025,0.4221,0.0617,0.8321,0.6705,0.4224,0.2419,0.0041,0.019,0.5259,0.0499,0.5213,"M"
0.6609,0.4693,0.133,0.901,0.7963,0.4515,0.2318,0.0101,0.0175,0.6034,0.0469,0.8316,"M"
0.5966,0.4374,0.0748,0.8718,1.0,0.6646,0.2086,0.0143,0.0276,0.4791,0.0209,0.6925,"M"
0.5079,0.2662,0.0403,0.9188,0.8621,0.3769,0.0885,0.0154,0.0158,0.4436,0.0201,0.7334,"M"
0.5761,0.5616,0.1276,0.9007,0.8497,0.4713,0.2737,0.0187,0.0124,0.4882,0.0154,0.8474,"M"
0.7106,0.1487,0.0165,0.4871,0.6172,0.2767,0.6665,0.0021,0.0141,0.4367,0.0199,0.4182,"M"
0.1114,0.1192,0.1443,0.181,0.0223,0.2031,0.8079,0.0057,0.0141,0.2729,0.0211,0.525,"M"
0.078,0.2265,0.0233,0.3508,0.2801,0.198,0.6352,0.0112,0.0187,0.3743,0.0171,0.8591,"M"
0.2058,0.4894,0.0646,0.4079,0.4033,0.3531,0.5091,0.0085,0.0127,0.1432,0.0772,0.9201,"M"
0.1247,0.5835,0.1693,0.5961,0.4952,0.4725,0.6695,0.0218,0.0127,0.0427,0.0374,0.9289,"M"
0.1632,0.6149,0.0246,0.3404,0.7505,0.3024,0.6534,0.0208,0.0376,0.2106,0.027,0.8229,"M"
0.1294,0.6448,0.0995,0.3508,0.731,0.2035,0.51,0.0078,0.012,0.296,0.0355,0.8607,"M"
0.0998,0.576,0.08,0.3045,0.3967,0.352,0.4464,0.0015,0.0087,0.1598,0.0334,0.7025,"M"
0.0795,0.4268,0.0666,0.5167,0.6983,0.1889,0.5825,0.0129,0.0281,0.4433,0.0628,0.5051,"M"
0.1369,0.5858,0.0635,0.3345,0.6552,0.3823,0.4106,0.0106,0.0252,0.1354,0.0475,0.6579,"M"
0.3422,0.5438,0.2482,0.8835,0.296,0.2398,0.7756,0.0098,0.0447,0.3521,0.0825,0.6405,"M"
0.2127,0.0629,0.1284,0.6186,0.0313,0.5027,0.1773,0.0068,0.003,0.2208,0.0286,0.5479,"M"
0.1234,0.2388,0.074,0.5356,0.3317,0.337,0.6299,0.0099,0.0103,0.214,0.0462,0.2058,"M"
0.1853,0.0492,0.0427,0.7912,0.0342,0.2584,0.5557,0.0011,0.0039,0.176,0.0118,0.3616,"M"
0.2461,0.0684,0.041,0.8435,0.1847,0.438,0.3952,0.0092,0.0043,0.187,0.0246,0.396,"M"
0.2079,0.0945,0.023,0.729,0.2849,0.2949,0.1934,0.0053,0.0062,0.3314,0.023,0.7821,"M"
0.2078,0.1675,0.0993,1.0,0.2421,0.499,0.5103,0.0006,0.0025,0.113,0.0201,0.6316,"M"
0.2169,0.2017,0.0915,0.8593,0.1446,0.5093,0.5067,0.0052,0.0013,0.1547,0.0084,0.5962,"M"
0.1345,0.2,0.0711,0.9603,0.3093,0.428,0.3439,0.0015,0.0049,0.0996,0.0134,0.619,"M"
0.3469,0.471,0.0883,0.0902,0.6447,0.2102,0.7906,0.0029,0.0039,0.424,0.0251,0.9151,"M"
0.272,0.5013,0.0724,0.1506,0.6604,0.0906,0.6926,0.0036,0.0102,0.6223,0.0414,0.9087,"M"
0.2936,0.4485,0.1075,0.126,0.7539,0.1184,0.5734,0.0036,0.0021,0.484,0.0261,1.0,"M"
0.3199,0.4373,0.0746,0.2219,0.6835,0.1413,0.5771,0.0021,0.0058,0.5708,0.0225,1.0,"M"
0.2954,0.3955,0.0784,0.074,0.6378,0.127,0.7531,0.005,0.0045,0.4158,0.0265,0.9344,"M"
0.3127,0.5907,0.0456,0.154,0.6253,0.1159,0.6577,0.0021,0.0086,0.6119,0.0424,0.8892,"M"
0.211,0.2069,0.0484,0.4161,0.333,0.165,0.9104,0.0032,0.0026,0.373,0.0222,0.5207,"M"
0.2318,0.1724,0.042,0.6153,0.5248,0.1194,1.0,0.0037,0.0034,0.325,0.0131,0.2526,"M"
0.2822,0.2814,0.0752,0.7276,0.6755,0.1085,0.714,0.0033,0.0083,0.8116,0.0493,0.7405,"M"
0.181,0.0395,0.0519,0.7686,0.6673,0.0668,0.9655,0.0038,0.0075,0.5208,0.0216,0.5574,"M"
0.23,0.4282,0.0489,0.2975,0.2901,0.0775,0.3452,0.0044,0.0065,0.6246,0.0327,1.0,"M"
0.0874,0.4125,0.0241,0.5269,0.6576,0.0601,0.5424,0.0033,0.0036,0.4713,0.0276,0.5441,"M"
0.1476,0.2986,0.0515,0.626,0.7843,0.0092,0.8949,0.0047,0.0036,0.3004,0.0122,0.6257,"M"
0.1375,0.2846,0.0428,0.5933,0.7184,0.0742,0.7758,0.0026,0.0035,0.3482,0.0116,0.6585,"M"
0.125,0.396,0.0444,0.5167,0.8083,0.0669,0.8587,0.0041,0.0016,0.2702,0.0099,0.485,"M"
0.5965,0.1577,0.0596,0.8097,0.5666,0.1635,0.8729,0.0085,0.0111,0.3738,0.0219,0.3754,"M"
0.2918,0.1031,0.1615,0.7683,0.5054,0.1682,0.4974,0.0022,0.0027,0.2771,0.0117,0.7722,"M"
0.2672,0.1201,0.1158,0.5844,0.1757,0.1804,0.7115,0.0074,0.0015,0.4441,0.0124,0.4,"M"
0.3134,0.413,0.0463,0.5006,0.1445,0.2869,0.9932,0.0068,0.0172,0.5505,0.0267,0.3281,"M"
0.3473,0.4366,0.0497,0.6339,0.0752,0.3236,0.9138,0.0043,0.0014,0.2634,0.0059,0.3924,"M"
0.39,0.3263,0.0185,0.7198,0.0864,0.3052,1.0,0.0051,0.0072,0.1142,0.0086,0.2918,"M"
0.2571,0.066,0.0397,0.5492,0.3588,0.2718,0.9637,0.0036,0.0109,0.3051,0.0152,0.6345,"M"
0.1695,0.0298,0.0251,0.3926,0.2401,0.2759,0.7853,0.0054,0.0058,0.4021,0.0057,0.6831,"M"
0.2558,0.1173,0.0597,0.4578,0.3108,0.3352,0.7745,0.0087,0.0032,0.3228,0.005,1.0,"M"
0.4432,0.4624,0.0964,0.6898,0.1287,0.2245,0.7152,0.0054,0.0079,0.5168,0.0089,0.573,"M"
0.2696,0.5749,0.107,0.542,0.0349,0.2965,0.5984,0.0017,0.0121,0.4254,0.0356,0.6713,"M"
0.3745,0.5084,0.0613,0.6833,0.0516,0.3333,0.6484,0.0033,0.0133,0.4314,0.0251,0.6074,"M"
0.2952,0.5294,0.0887,0.7264,0.03,0.3575,0.7748,0.0018,0.017,0.4977,0.0134,0.6482,"M"
0.5915,0.3517,0.1313,0.7526,0.1675,0.2002,0.7201,0.0057,0.0081,0.4124,0.03,0.4848,"M"
0.4117,0.4892,0.0441,0.7932,0.0774,0.295,0.7287,0.0058,0.0099,0.5196,0.0144,0.6048,"M"
0.3914,0.7034,0.0698,0.4428,0.1406,0.3331,0.6207,0.0042,0.0039,0.5529,0.051,0.8577,"M"
0.2544,0.201,0.0759,0.3245,0.194,0.2794,0.4808,0.0052,0.0057,0.2244,0.0224,0.8425,"M"
0.2119,0.1459,0.0224,0.3679,0.1848,0.187,0.6409,0.0018,0.0025,0.2631,0.0176,0.6969,"M"
0.1923,0.1976,0.0988,0.4283,0.1944,0.2226,0.7221,0.0021,0.0028,0.2574,0.0097,0.7187,"M"
0.1567,0.1449,0.0462,0.3149,0.2183,0.3189,0.7519,0.0024,0.0091,0.2483,0.0155,0.6981,"M"
0.1533,0.1186,0.0902,0.3341,0.1866,0.1886,0.7868,0.0055,0.0072,0.2407,0.0143,0.6456,"M"
0.1859,0.0664,0.0936,0.3346,0.1488,0.188,0.749,0.0007,0.0068,0.2046,0.0044,0.6511,"M"
0.1747,0.0594,0.0537,0.3107,0.1565,0.204,0.7812,0.0016,0.0045,0.2152,0.0177,0.7022,"M"
0.2471,0.0769,0.041,0.433,0.1331,0.1165,0.8878,0.0014,0.0079,0.1043,0.0101,0.8542,"M"
0.2245,0.2709,0.0767,0.6127,0.1019,0.2249,0.9308,0.0029,0.0019,0.138,0.0219,0.6862,"M"
0.2282,0.2203,0.0958,0.7265,0.1769,0.1782,0.951,0.0028,0.0027,0.0426,0.0142,0.6409,"M"
0.1847,0.196,0.0596,0.6684,0.1588,0.1555,0.9498,0.0027,0.0059,0.1282,0.0194,0.6252,"M"
0.2048,0.1878,0.0788,0.6166,0.1206,0.143,0.8813,0.006,0.0038,0.1082,0.017,0.6151,"M"
0.2271,0.1555,0.0076,0.726,0.2321,0.1889,0.9327,0.0035,0.0034,0.1475,0.0056,0.6381,"M"
0.3193,0.2085,0.0721,0.7154,0.2223,0.1385,0.9865,0.0085,0.0037,0.146,0.0183,0.6213,"M"
0.266,0.1814,0.0529,0.6936,0.0956,0.178,0.881,0.0031,0.0062,0.1127,0.0136,0.6069,"M"
0.3997,0.0638,0.1127,0.1839,0.099,0.1739,0.844,0.0103,0.0043,0.1108,0.0275,0.5371,"M"
0.2684,0.0902,0.0393,0.174,0.0849,0.1801,0.8919,0.0157,0.0033,0.12,0.029,0.6199,"M"
0.2154,0.0954,0.076,0.2395,0.0928,0.1235,0.9888,0.0067,0.0063,0.0345,0.0179,0.7412,"M"
0.2529,0.091,0.0351,0.1395,0.1098,0.0683,0.9424,0.0031,0.0062,0.0325,0.0235,0.6979,"M"
0.2354,0.1319,0.0167,0.4293,0.0776,0.0673,0.9242,0.0048,0.0036,0.0849,0.0241,0.7141,"M"
0.2354,0.1439,0.0214,0.4552,0.1641,0.1302,0.9432,0.0115,0.0039,0.0768,0.0116,0.8358,"M"
